geneID	Endocrine	Immune	Exocrine	ActivatedStroma	ClassicalTumor	NormalStroma	BasalTumor
ABCG8	0	0	1.179521e-01	0	8.492520e-01	9.443262e-01	0
ABHD1	7.690334e-01	7.331063e-01	2.528418e-01	0	1.556887e-01	3.019540e-01	3.125438e-01
ABHD10	1.181409e+00	1.016072e+00	9.476560e-01	7.076116e-01	6.957824e-01	7.936527e-01	9.902429e-01
ABHD11	6.953325e-02	1.904338e-01	3.627848e-01	3.077428e-01	1.313727e+00	2.678739e-01	1.619718e+00
ABHD12	1.242025e+00	7.042312e-01	1.465185e+00	8.031019e-01	1.066381e+00	8.138153e-01	1.308949e+00
ABHD12B	3.335795e-01	0	1.154429e-01	0	0	2.384336e-01	2.593905e-01
ABHD13	1.054119e+00	9.636583e-01	6.997432e-01	8.152988e-01	7.448031e-01	9.898880e-01	5.556775e-01
ABHD14A	2.237721e+00	1.104962e+00	9.793206e-01	6.935361e-01	9.096559e-01	1.093952e+00	8.127018e-01
ABHD14B	9.686625e-01	1.328128e+00	1.269057e+00	8.084103e-01	1.294560e+00	1.041120e+00	1.079066e+00
ABHD15	1.417402e+00	1.161034e+00	6.690027e-01	7.280392e-01	7.684770e-01	7.842647e-01	8.223591e-01
ABHD2	6.878851e-01	6.188942e-01	1.248176e+00	1.003960e+00	1.482074e+00	9.477681e-01	1.081897e+00
ABHD3	1.213623e-01	6.723439e-01	4.757812e-01	6.866519e-01	1.225910e+00	5.467193e-01	3.989639e-01
ABHD4	4.838904e-01	5.348173e-01	8.617675e-01	1.144927e+00	1.010136e+00	8.280346e-01	8.566240e-01
ABHD5	5.462560e-01	8.536159e-01	7.530587e-01	8.761972e-01	6.403861e-01	8.040003e-01	8.079129e-01
ABHD6	1.125908e+00	8.999600e-01	5.390580e-01	7.158687e-01	7.497958e-01	1.031171e+00	4.346316e-01
ABHD8	1.132519e+00	7.325249e-01	6.157804e-01	6.049233e-01	7.691103e-01	9.193570e-01	8.817772e-01
ABI1	5.617614e-01	9.307945e-01	6.763528e-01	8.135231e-01	1.098378e+00	7.590777e-01	9.511941e-01
ABI2	1.027118e+00	7.280343e-01	3.657077e-01	9.004059e-01	6.840567e-01	1.027975e+00	7.608739e-01
ABI3	1.775741e+00	2.693595e+00	1.021800e+00	9.911523e-01	6.636115e-01	1.165562e+00	4.614633e-01
ABI3BP	2.280237e+00	2.989809e+00	1.085380e+00	7.458771e-01	4.314138e-01	1.849264e+00	0
ABL1	1.015181e+00	1.135528e+00	6.256768e-01	1.322605e+00	6.934569e-01	1.511455e+00	5.083546e-01
ABL2	1.086821e+00	1.271674e+00	6.059246e-01	1.253607e+00	3.843630e-01	1.062148e+00	5.879543e-01
ABLIM1	1.136821e+00	1.274749e+00	7.690892e-01	6.721316e-01	1.368476e+00	1.289959e+00	8.671957e-01
ABLIM2	1.603768e+00	5.460067e-01	1.268401e-01	2.649889e-01	6.452827e-01	5.235797e-01	9.367430e-01
ABLIM3	3.222044e-01	1.046968e-01	4.132288e-01	8.268452e-01	9.982372e-01	7.836422e-01	1.672471e+00
ABO	0	0	0	0	1.832804e+00	4.449278e-01	5.381262e-01
ABP1	2.444530e-01	2.800412e-01	4.626129e-01	4.228191e-01	2.381074e+00	1.304968e+00	1.133337e+00
ABR	1.128183e+00	9.255278e-01	5.182528e-01	9.358854e-01	1.003233e+00	1.108345e+00	9.606014e-01
ABRA	2.319451e-01	3.668709e-01	9.354589e-01	0	0	1.131357e+00	0
ABT1	6.883896e-01	1.183693e+00	7.995219e-01	7.832248e-01	8.018845e-01	8.248069e-01	8.134655e-01
ABTB1	3.011215e-01	1.069578e+00	7.825311e-01	5.693827e-01	1.169479e+00	9.054239e-01	1.299114e+00
ABTB2	4.007212e-03	3.901148e-01	4.398654e-01	2.850104e-01	1.157506e+00	5.394515e-01	1.228298e+00
ACAA1	1.019437e+00	1.025368e+00	1.343035e+00	7.929698e-01	1.195178e+00	9.130583e-01	1.354252e+00
ACAA2	1.375028e+00	1.064710e+00	1.403074e+00	9.414380e-01	9.998666e-01	1.171026e+00	9.662653e-01
ACACA	1.230595e+00	5.860095e-01	5.575409e-01	7.274357e-01	8.841353e-01	9.601801e-01	9.998615e-01
ACACB	2.404161e+00	1.834337e+00	1.514589e+00	2.537117e-01	8.165410e-01	1.984194e+00	5.625798e-02
ACAD10	5.424373e-01	8.329922e-01	9.194662e-01	3.949140e-01	8.498892e-01	9.251495e-01	8.553719e-01
ACAD11	7.260438e-01	1.046745e+00	3.372478e-01	7.311289e-01	7.134229e-01	1.030723e+00	7.371747e-01
ACAD8	7.055596e-01	9.805591e-01	1.014116e+00	5.260976e-01	8.925409e-01	9.339988e-01	7.402227e-01
ACAD9	6.744876e-01	7.608320e-01	7.919383e-01	6.965207e-01	7.941150e-01	7.648437e-01	1.198370e+00
ACADL	2.512038e+00	1.761792e+00	4.856275e+00	2.615983e-01	1.775587e-01	3.406544e-01	0
ACADM	1.124698e+00	1.168287e+00	1.141736e+00	7.465632e-01	7.041429e-01	1.337689e+00	1.870710e-01
ACADS	5.751923e-01	1.006770e+00	1.367909e+00	3.763995e-01	1.339249e+00	1.110068e+00	1.038438e+00
ACADSB	9.853899e-01	1.120258e+00	1.134000e+00	5.100229e-01	7.903040e-01	1.278986e+00	1.651423e-01
ACADVL	1.206316e+00	1.185179e+00	1.314652e+00	8.166343e-01	1.184679e+00	1.158796e+00	1.174384e+00
