sampleID	D16.16_RICKMAN-HEAD-AND-NECK-CANCER-D	D8.3_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D6.6_GNF2-SPRR1B	D13.5_SINGH-NFE2L2-TARGETS	D11.9_GNF2-BUB1	D15.5_FARMER-BREAST-CANCER-CLUSTER-5	D15.4_BARRIER-CANCER-RELAPSE-NORMAL-SAMPLE-DN	D9.7_EPITHELIAL-CELL-DIFFERENTIATION	D10.8_BIOCARTA-TCAPOPTOSIS-PATHWAY	D8.1_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC
TCGA-22-1016-01A-01R-0692-07	0	2.047095e+00	3.621942e-01	9.825033e-02	2.460277e-01	8.891811e-01	1.083720e+00	1.477758e-01	2.423357e-01	3.900636e+00
TCGA-22-1017-01A-01R-0692-07	0	1.895708e+00	1.297366e-01	9.039617e-02	4.553592e-01	5.166210e-01	1.628189e+00	0	1.648547e-01	6.068152e+00
TCGA-22-4591-01A-01R-1201-07	3.829367e-02	1.180853e+00	5.418740e-01	7.185492e-01	5.359845e-01	1.049158e-01	8.014727e-01	9.735722e-01	0	4.719390e+00
TCGA-22-4593-11A-01R-1820-07	0	3.108926e+00	0	0	0	3.063256e-01	8.774039e-01	0	0	5.201439e+00
TCGA-22-4593-01A-21R-1820-07	0	5.496550e-01	1.289341e-01	2.607230e-01	5.052010e-01	2.258922e+00	6.186245e-01	1.040267e-01	0	3.033858e+00
TCGA-22-4594-01A-01R-1201-07	1.681820e-01	9.988351e-01	0	3.877980e-01	9.940687e-01	7.022962e-01	1.121185e+00	0	7.224432e-01	5.477681e+00
TCGA-22-4595-01A-01R-1201-07	0	7.558123e-01	7.191816e-01	2.225570e-01	3.477997e-01	1.431314e+00	1.071176e+00	3.680010e-01	2.737247e-01	3.840522e+00
TCGA-22-4596-01A-01R-1201-07	3.420795e-02	1.855345e+00	1.092344e-02	1.697373e-01	5.912912e-02	8.663108e-01	1.365370e+00	0	6.889930e-01	5.439518e+00
TCGA-22-4599-01A-01R-1443-07	0	1.633787e-01	0	1.266417e+00	1.129743e-01	6.268650e-01	1.996501e-01	0	4.847280e-01	3.949173e+00
TCGA-22-4601-01A-01R-1443-07	0	1.284552e+00	3.038057e-01	1.236449e+00	1.581465e-01	1.936504e-01	1.350835e+00	3.340781e-01	2.637366e-01	3.608165e+00
