sampleID	D6.6_SU-KIDNEY	D7.6_REACTOME-INITIAL-TRIGGERING-OF-COMPLEMENT	D9.6_BIOCARTA-KREB-PATHWAY	D12.7_SABATES-COLORECTAL-ADENOMA-SIZE-UP	D8.2_FARMER-BREAST-CANCER-CLUSTER-5	D11.11_ACUTE-INFLAMMATORY-RESPONSE	D10.6_AIGNER-ZEB1-TARGETS	D7.1_chryp11
TCGA-AK-3443-01A-02R-1325-07	0	0	4.513220e+00	6.028144e-02	1.300421e+00	0	5.602372e-01	1.331671e+00
TCGA-AK-3444-01A-02R-1325-07	2.168890e-01	0	4.064735e-01	7.604033e-01	7.238641e-01	0	0	5.917883e+00
TCGA-AK-3445-01A-02R-1277-07	0	1.328215e+00	3.929897e-01	5.131984e-01	2.642260e+00	1.008854e-01	9.803076e-02	3.753549e+00
TCGA-AK-3447-01A-01R-1766-07	0	6.223747e-01	4.741166e+00	0	9.582292e-01	0	0	4.643978e-03
TCGA-AK-3450-01A-02R-1277-07	4.073989e-01	3.396039e-01	5.888277e-01	8.005896e-01	8.355121e-01	0	2.341167e-02	4.532277e+00
TCGA-AK-3451-01A-02R-1188-07	2.068030e-01	1.397705e+00	7.183941e-01	5.617944e-01	4.473985e-01	0	0	4.672498e+00
TCGA-AK-3453-01A-02R-1277-07	6.560893e-02	1.686174e-01	2.693418e+00	7.676892e-01	4.452596e-01	0	1.578760e+00	1.816160e+00
TCGA-AK-3454-01A-02R-1277-07	2.899795e-01	1.503311e-01	4.623927e-01	7.280628e-01	1.306116e+00	2.237780e-02	1.284929e-01	5.007756e+00
TCGA-AK-3455-01A-01R-0864-07	2.271708e-01	7.986693e-01	4.405816e-01	1.199147e+00	6.045690e-01	1.217698e-01	0	5.668312e+00
TCGA-AK-3456-01A-02R-1325-07	2.471925e-01	7.030771e-01	1.032713e+00	8.393174e-01	4.848339e-01	0	5.495767e-01	5.380611e+00
TCGA-AK-3458-01A-01R-1503-07	1.526834e-01	7.803513e-01	7.361104e-01	9.630124e-01	6.546760e-01	0	1.816500e-01	4.405823e+00
TCGA-AK-3460-01A-02R-1277-07	5.203858e-02	3.607268e-01	3.287401e-01	6.315443e-01	1.698774e+00	0	2.327471e-01	5.028508e+00
TCGA-AK-3461-01A-02R-1277-07	3.225866e-01	1.571688e-01	4.159245e-01	7.074537e-01	1.843117e+00	0	7.287645e-01	3.641046e+00
TCGA-AK-3465-01A-02R-1325-07	6.852628e-01	0	3.056617e+00	4.837042e-01	1.667850e+00	0	1.144200e+00	0
TCGA-AS-3777-01A-01R-0864-07	5.781190e-01	1.181627e+00	2.979774e+00	2.483760e-01	1.713529e+00	2.918307e-01	2.641175e-01	7.268484e-01
TCGA-AS-3778-01A-01R-A32Z-07	2.354858e-01	3.533050e-01	1.313225e-01	9.708963e-01	1.586675e+00	0	2.906335e-01	4.478298e+00
TCGA-B0-4688-01A-01R-1277-07	0	6.841081e-01	1.259868e+00	0	4.014397e+00	0	0	6.018335e-02
TCGA-B0-4690-01A-01R-1277-07	0	1.468859e+00	4.282902e-01	2.752741e-01	3.188161e+00	1.171954e-01	2.881480e-01	3.392066e+00
TCGA-B0-4691-01A-01R-1277-07	2.570054e-02	1.598093e+00	1.351814e-01	1.019048e+00	1.918641e+00	0	1.519872e-01	3.169617e+00
TCGA-B0-4693-01A-01R-1277-07	5.095231e-02	3.640249e-01	2.300244e-01	1.054305e+00	1.108849e+00	5.340486e-02	2.324627e-01	6.017326e+00
