sampleID	D9.8_GNF2-TTN	D10.8_REACTOME-BETA-DEFENSINS	D11.10_MODULE-432	D11.1_MIPS-UTX-MLL2-3-COMPLEX	D13.5_CHASSOT-SKIN-WOUND	D11.3_chr11q11	D11.4_MANNOSYLTRANSFERASE-ACTIVITY	D11.5_EPITHELIAL-CELL-DIFFERENTIATION	D10.6_BIOCARTA-TCAPOPTOSIS-PATHWAY	D11.2_GNF2-GLTSCR2
TCGA-CH-5772-01A-11R-1580-07	7.903197e-01	4.954802e-01	0	2.930229e+00	1.058279e+00	8.708115e-01	1.912500e+00	1.740352e-01	3.044514e-01	1.655465e+00
TCGA-CH-5788-01A-11R-1580-07	0	6.664175e-01	0	2.204542e+00	2.246873e-01	4.284861e-01	1.029598e+00	0	1.815257e+00	2.373909e+00
TCGA-CH-5789-01A-11R-1580-07	2.562408e-01	5.655151e-01	1.207477e-01	2.757783e+00	1.617622e+00	9.276110e-01	1.377224e+00	1.445651e+00	7.962242e-01	5.501016e-01
TCGA-CH-5790-01A-11R-1580-07	0	3.277521e-01	3.306008e-01	2.493241e+00	8.834315e-01	2.793691e+00	2.188414e-01	3.519719e-02	1.298808e+00	1.408211e+00
TCGA-CH-5791-01A-11R-1580-07	1.239928e-02	4.701800e-01	1.052853e+00	2.408930e+00	5.486981e-01	1.983358e+00	0	3.073631e-01	1.168956e+00	1.830984e+00
TCGA-CH-5792-01A-11R-1580-07	4.219391e-01	3.099285e-01	3.623997e-01	2.333002e+00	1.111395e+00	4.082506e-01	1.162115e+00	9.246086e-01	1.824095e+00	1.200866e+00
TCGA-CH-5794-01A-11R-1580-07	3.651798e-02	4.960291e-01	5.553351e-01	2.212444e+00	1.170135e+00	2.626519e+00	2.150162e-01	2.204106e-01	1.155694e+00	1.414670e+00
TCGA-EJ-5494-01A-01R-1580-07	4.342157e-01	3.325924e-01	0	3.000144e+00	1.340257e+00	7.518676e-01	1.490913e+00	9.990778e-01	3.155024e-01	1.712863e+00
TCGA-EJ-5495-01A-01R-1580-07	4.188856e-01	1.117994e+00	3.997755e-01	2.823164e+00	7.733360e-01	1.525331e+00	1.788015e-01	3.659438e-01	1.296527e+00	1.111634e+00
TCGA-EJ-5496-01A-01R-1580-07	6.723540e-02	5.059346e-01	4.372320e-02	2.789777e+00	6.811859e-01	2.577707e+00	8.348408e-01	8.696712e-01	5.983402e-01	1.153440e+00
TCGA-EJ-5497-01A-02R-1580-07	2.441014e-01	3.982367e-01	1.602704e-01	2.794628e+00	9.053396e-01	2.124467e+00	8.947908e-01	7.926867e-01	1.113863e+00	6.999069e-01
TCGA-EJ-5498-01A-01R-1580-07	5.022386e-01	4.723174e-01	2.336177e-01	2.923663e+00	1.047969e+00	1.481309e+00	5.717079e-01	1.423521e+00	8.049637e-01	9.037365e-01
TCGA-EJ-5499-01A-01R-1580-07	6.354888e-02	5.151720e-01	1.647709e-01	2.597369e+00	4.684655e-01	1.960485e+00	3.837475e-01	7.134009e-01	1.409411e+00	1.525541e+00
TCGA-EJ-5501-01A-01R-1580-07	3.237405e-01	4.647255e-01	6.047038e-01	2.392051e+00	9.280238e-01	1.496413e+00	7.026573e-01	1.132594e+00	7.891181e-01	1.497679e+00
TCGA-EJ-5502-01A-01R-1580-07	5.838783e-01	1.832190e-01	8.321941e-02	2.460940e+00	1.191612e+00	1.175322e+00	1.180232e+00	7.630087e-01	1.670046e+00	7.847707e-01
TCGA-EJ-5503-01A-01R-1580-07	2.426252e-01	7.493354e-01	1.375617e-01	2.484158e+00	1.096219e+00	9.685317e-01	9.325211e-01	2.060461e+00	7.530306e-01	1.063403e+00
TCGA-EJ-5504-01A-01R-1580-07	6.643667e-01	1.598892e-01	3.910758e-01	2.685261e+00	7.257357e-01	1.078589e+00	1.536648e+00	3.012946e-01	1.194869e+00	1.335848e+00
TCGA-EJ-5505-01A-01R-1580-07	3.220612e-01	5.715913e-01	0	3.121499e+00	4.642794e-01	7.046035e-01	2.425706e+00	1.283975e+00	2.672374e-01	1.002139e+00
TCGA-EJ-5506-01A-01R-1580-07	0	8.693939e-01	3.835774e-01	2.925197e+00	6.226284e-01	7.043270e-01	6.809306e-01	2.472008e+00	0	1.574848e+00
TCGA-EJ-5507-01A-01R-1580-07	2.739941e-01	5.899333e-01	1.362908e+00	2.166911e+00	5.717597e-01	1.950179e+00	3.281993e-01	0	1.401094e+00	1.309987e+00
TCGA-EJ-5508-01A-02R-1580-07	1.476332e-01	1.434563e-01	0	3.183801e+00	8.116898e-01	1.624246e+00	9.005142e-01	9.733490e-01	1.135564e+00	1.084835e+00
TCGA-EJ-5509-01A-01R-1580-07	4.737949e-01	4.329078e-01	0	2.593491e+00	7.950334e-01	5.682395e-01	1.750380e+00	3.981692e-01	1.685748e+00	1.283015e+00
TCGA-EJ-5510-01A-01R-1580-07	1.330121e-01	3.220034e-01	6.574190e-01	2.604297e+00	7.124049e-01	1.080445e+00	6.432176e-01	1.392874e+00	1.023776e+00	1.583442e+00
TCGA-EJ-5511-01A-01R-1580-07	5.350360e-01	2.410069e-01	3.184170e-01	2.494169e+00	5.894702e-01	1.630198e+00	4.764243e-01	5.799129e-01	1.212036e+00	1.789531e+00
