sampleID	D15.10_VALK-AML-CLUSTER-5	D14.4_KORKOLA-EMBRYONAL-CARCINOMA	D14.11_WEBER-METHYLATED-LCP-IN-FIBROBLAST-UP	D8.7_KORKOLA-YOLK-SAC-TUMOR	D16.16_CORNIFIED-ENVELOPE	D9.1_GNF2-GLTSCR2	D15.2_MIPS-UTX-MLL2-3-COMPLEX	D15.8_FU-INTERACT-WITH-ALKBH8	D8.3_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON	D15.12_SUGAR-TRANSMEMBRANE-TRANSPORTER-ACTIVITY	D10.4_IONOTROPIC-GLUTAMATE-RECEPTOR-ACTIVITY	D18.6_MOSERLE-IFNA-RESPONSE
TCGA-2X-A9D6-01A-11R-A430-07	6.203850e-01	0	2.325888e-01	0	0	1.642044e+00	2.652687e+00	1.388160e+00	6.010854e-01	0	9.399135e-01	8.531499e-01
TCGA-4K-AA1G-01A-11R-A430-07	7.471680e-01	0	0	0	0	2.633278e+00	2.666598e+00	1.412828e+00	0	0	6.864793e-02	1.519651e-01
TCGA-4K-AA1H-01A-11R-A430-07	8.052670e-01	0	8.412277e-01	0	0	1.586432e+00	2.124225e+00	7.077201e-01	6.229074e-01	0	9.003447e-01	1.418577e+00
TCGA-4K-AA1I-01A-11R-A430-07	8.774988e-01	1.294046e-01	3.359195e-01	2.119788e-01	0	2.474574e+00	2.285343e+00	7.010108e-01	2.999843e-02	0	3.204885e-01	1.246501e+00
TCGA-4K-AAAL-01A-11R-A430-07	5.867000e-01	4.130610e-01	1.128263e+00	1.472260e-01	0	3.189163e+00	1.876196e+00	0	2.671345e-01	0	7.656870e-01	5.036141e-01
TCGA-S6-A8JW-01A-11R-A430-07	3.498442e-01	0	5.188123e-02	1.291073e-01	0	2.416958e+00	2.659969e+00	1.365634e+00	4.180290e-01	0	6.954147e-01	1.091556e+00
TCGA-S6-A8JX-01A-11R-A430-07	1.283788e-01	1.821672e-01	4.281451e-01	3.781807e-03	0	4.182224e+00	2.609393e+00	4.030277e-01	2.675074e-01	0	6.582727e-01	5.350620e-02
TCGA-S6-A8JY-01A-11R-A431-07	6.230577e-01	3.735962e-01	2.156068e-01	0	0	4.089897e+00	2.570192e+00	9.694174e-02	0	0	4.366907e-01	2.696941e-01
TCGA-SB-A6J6-01A-11R-A431-07	6.132751e-01	7.211469e-02	2.541442e-01	2.240380e-02	0	4.815214e+00	2.427286e+00	0	0	0	6.276950e-01	8.148787e-01
TCGA-SB-A76C-01A-11R-A431-07	2.213503e-01	0	1.617264e-01	0	0	3.970292e+00	2.498463e+00	8.170201e-01	0	0	2.013042e-01	8.156945e-01
TCGA-SN-A6IS-01A-11R-A431-07	2.490123e-01	2.594533e-01	5.293178e-01	2.496714e-02	0	3.927602e+00	2.505164e+00	0	5.300295e-01	0	1.153676e+00	9.046723e-01
TCGA-SN-A84W-01A-11R-A431-07	8.195702e-03	0	0	1.121845e+00	2.513965e-01	4.371703e-01	2.264560e+00	0	5.461644e+00	5.457686e-01	3.183479e+00	0
TCGA-SN-A84X-01A-11R-A431-07	3.940058e-01	4.373056e-01	1.601385e-01	6.098701e-01	7.970583e-01	1.979323e+00	1.567625e+00	0	2.605647e+00	0	1.624879e+00	8.529586e-01
TCGA-SN-A84Y-01A-11R-A431-07	3.456564e-01	2.156280e+00	0	9.458728e-01	0	4.430077e-01	2.417015e+00	0	1.106623e+00	0	1.662153e+00	3.505249e-01
TCGA-SO-A8JP-01A-11R-A431-07	1.854507e-01	0	4.919046e-01	0	0	3.665449e+00	2.498281e+00	8.239637e-01	2.981504e-01	0	6.013953e-01	1.721865e-01
TCGA-VF-A8A8-01A-11R-A431-07	3.638194e-01	2.072925e+00	0	1.324159e+00	0	3.148787e-01	1.887839e+00	0	1.664873e+00	0	1.800418e+00	1.690439e-01
TCGA-VF-A8A9-01A-11R-A431-07	3.402498e-01	1.919140e-01	5.464529e-01	0	0	4.467666e+00	2.068414e+00	0	1.441834e-01	0	7.551804e-01	1.396108e+00
TCGA-VF-A8AA-01A-11R-A431-07	4.717167e-01	0	6.050930e-01	0	0	2.768357e+00	2.146627e+00	1.233158e+00	0	0	2.831077e-01	8.818206e-01
TCGA-VF-A8AB-01A-31R-A431-07	1.452356e+00	9.927517e-02	2.226954e-01	1.873537e-01	0	2.471896e+00	2.227474e+00	3.383015e-01	5.056762e-01	0	6.684750e-01	3.566953e-01
TCGA-VF-A8AC-01A-11R-A431-07	3.244351e-01	0	8.628131e-01	4.956824e-02	0	2.117615e+00	2.031182e+00	1.300656e+00	1.718482e-01	0	5.455110e-01	1.418947e+00
TCGA-VF-A8AD-01A-11R-A431-07	6.959241e-01	1.804858e+00	4.919978e-01	5.242353e-01	0	9.813070e-01	2.150947e+00	0	2.694423e-01	0	6.366632e-01	8.092664e-01
