sampleID	D12.10_GNF2-SPRR1B	D6.2_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D17.11_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D19.8_FARMER-BREAST-CANCER-CLUSTER-5	D9.7_REACTOME-CYTOSOLIC-SULFONATION-OF-SMALL-MOLECULES	D18.18_REACTOME-DOPAMINE-NEUROTRANSMITTER-RELEASE-CYCLE	D17.8_WEBER-METHYLATED-ICP-IN-SPERM-DN	D18.17_GNF2-SPINK1	D19.16_CHROMOSOME-CONDENSATION	D18.12_MARTINELLI-IMMATURE-NEUTROPHIL-DN	D17.6_chr11q11
TCGA-BR-7957-01A-11R-2203-13	0	3.183016e+00	2.959978e-01	5.519959e-01	5.770245e-01	7.481330e-04	0	9.182239e-03	1.644313e-01	1.236662e-01	2.882161e-01
TCGA-BR-7958-01A-21R-2343-13	0	1.734584e+00	5.837746e-01	4.393293e-01	0	0	0	0	1.341160e-01	0	1.299869e+00
TCGA-BR-7959-01A-11R-2343-13	2.435683e-03	2.782181e+00	2.555948e-01	5.204285e-01	2.444761e-01	1.863067e-01	0	0	3.978929e-01	3.509298e-01	2.466764e-01
TCGA-BR-8058-01A-31R-2343-13	0	2.235885e+00	5.900988e-01	4.974256e-01	1.855320e-01	7.684603e-02	0	2.613453e-01	0	0	1.176680e+00
TCGA-BR-8059-01A-11R-2343-13	1.471520e-01	2.178221e+00	0	6.164253e-01	0	0	0	0	3.180091e-01	0	4.505939e-01
TCGA-BR-8060-01A-11R-2343-13	0	2.952096e+00	4.872985e-01	3.217193e-01	1.982118e-01	5.524084e-01	2.131796e-01	0	0	2.718780e-01	2.116595e-01
TCGA-BR-8077-01A-11R-2343-13	0	1.499923e+00	3.223180e-01	2.659805e-01	1.061341e+00	2.925098e-02	1.149163e+00	0	1.110265e-01	4.464972e-01	5.194131e-01
TCGA-BR-8078-01A-11R-2343-13	0	1.612671e+00	4.328056e-01	5.556332e-01	2.817455e-01	0	0	0	8.310615e-02	0	2.847071e-01
TCGA-BR-8080-01A-11R-2343-13	0	2.983694e+00	5.404683e-01	3.963988e-01	3.715757e-01	3.115187e-02	0	0	1.041629e-01	5.679617e-01	0
TCGA-BR-8081-01A-11R-2343-13	0	2.072833e+00	7.108261e-01	5.844755e-01	9.627462e-01	0	0	0	0	2.041009e-02	7.925775e-02
