sampleID	D16.12_SENGUPTA-NASOPHARYNGEAL-CARCINOMA-DN	D6.1_INAMURA-LUNG-CANCER-SCC-DN	D13.3_FARMER-BREAST-CANCER-CLUSTER-5	D13.4_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D8.7_GNF2-SPRR1B	D6.4_MIPS-UTX-MLL2-3-COMPLEX	D7.1_chr11q25	D11.8_chr11q11	D16.8_REACTOME-BETA-DEFENSINS	D16.15_SASSON-FSH-RESPONSE	D16.14_SINGH-NFE2L2-TARGETS
TCGA-44-7661-01A-11R-2066-07	0	2.479674e+00	2.405165e+00	5.042975e-01	2.005505e-01	3.720142e-02	2.790102e+00	0	2.722997e-02	2.582531e-02	0
TCGA-44-7662-01A-11R-2066-07	0	5.852498e-01	2.758090e+00	6.679030e-01	0	8.743716e-01	3.462596e+00	0	0	0	0
TCGA-44-7667-01A-31R-2066-07	0	8.390790e-01	1.351117e+00	9.857942e-01	0	4.133429e+00	9.052458e-01	1.666973e+00	0	0	5.069697e-02
TCGA-44-7669-01A-21R-2066-07	5.342443e-02	3.313988e+00	8.925340e-01	1.688042e+00	0	3.779108e+00	4.004219e-01	1.210835e+00	0	0	1.779283e-01
TCGA-44-7670-01A-11R-2066-07	5.659008e-01	2.113646e+00	1.161949e+00	1.004107e+00	9.243498e-01	2.318831e+00	1.321708e+00	4.262273e-01	0	0	2.415440e-01
TCGA-44-7671-01A-11R-2066-07	3.315607e-01	3.068508e+00	1.216648e+00	2.250446e-01	4.915226e-01	1.973346e+00	1.675138e+00	5.322045e-01	0	1.262265e-01	4.255734e-01
TCGA-44-7672-01A-11R-2066-07	1.456583e-01	1.674470e+00	1.662781e+00	1.756036e+00	4.379581e-01	1.121890e+00	3.481660e+00	6.562384e-01	3.550063e-01	0	0
TCGA-44-8117-01A-11R-2241-07	0	1.527740e+00	1.316054e+00	5.259032e-01	0	8.204965e-01	4.178214e+00	0	2.901155e-01	0	0
TCGA-44-8119-01A-11R-2241-07	0	1.825061e+00	1.890422e+00	1.153896e+00	0	4.397683e+00	1.463894e+00	2.252772e+00	0	0	0
TCGA-44-8120-01A-11R-2241-07	0	2.635588e+00	1.285367e+00	7.973485e-01	0	1.172728e+00	3.398854e+00	0	4.057483e-02	0	0
