sampleID	D9.9_MODULE-381	D9.7_LEIN-OLIGODENDROCYTE-MARKERS	D15.12_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN	D9.8_MODULE-293	D13.4_KREPPEL-CD99-TARGETS-DN	D9.5_ARYLSULFATASE-ACTIVITY	D16.3_HISTONE-DEACETYLASE-BINDING	D9.3_chrxq11	D17.10_ORGANELLAR-SMALL-RIBOSOMAL-SUBUNIT	D19.19_GUENTHER-GROWTH-SPHERICAL-VS-ADHERENT-UP	D16.14_GNF2-SPRR1B
TCGA-DU-7008-01A-11R-2027-07	8.507063e-01	2.753272e-01	2.446027e-01	1.384494e-01	1.452946e+00	2.681017e-01	1.256423e+00	1.174094e+00	4.692887e-01	0	5.703378e-02
TCGA-DU-7009-01A-11R-2027-07	7.110829e-01	8.189196e-01	1.573195e-01	0	1.370298e+00	6.339723e-01	1.093100e+00	1.985627e+00	6.341102e-01	0	2.248690e-01
TCGA-DU-7010-01A-11R-2027-07	4.557726e-01	1.041744e+00	5.414662e-01	6.441924e-01	1.669535e+00	4.821889e-01	1.138260e+00	7.497874e-01	5.012527e-01	7.797714e-02	3.427512e-01
TCGA-DU-7011-01A-11R-2027-07	6.982758e-01	6.646783e-01	1.875930e-01	7.377960e-01	1.289277e+00	5.925665e-01	8.080016e-01	8.446457e-01	7.103507e-01	0	1.430883e-01
TCGA-DU-7012-01A-11R-2027-07	4.076705e-01	5.366550e-01	4.046257e-01	1.361596e+00	1.230871e+00	2.239451e+00	9.783975e-01	5.167504e-01	8.832957e-01	0	2.971627e-01
TCGA-DU-7013-01A-11R-2027-07	3.700142e-01	5.701046e-01	6.712399e-01	8.291353e-01	1.620908e+00	1.431807e+00	1.304883e+00	9.814826e-01	3.411532e-01	3.931405e-02	0
TCGA-DU-7014-01A-11R-2027-07	2.114587e-01	5.583735e-01	5.056429e-02	7.124899e-01	9.784889e-01	0	1.205017e+00	1.451498e+00	5.511081e-01	1.788444e-02	5.705362e-02
TCGA-DU-7015-01A-11R-2027-07	2.605718e-01	2.621570e-01	1.040042e-01	6.699501e-01	1.503695e+00	6.681890e-01	8.941576e-01	9.208764e-01	6.774135e-01	0	3.417745e-02
TCGA-DU-7018-01A-11R-2027-07	3.117220e-01	1.487814e-01	1.249719e-01	4.443276e-01	1.195065e+00	2.868996e-01	1.081791e+00	3.071022e+00	8.299532e-01	1.089609e-01	2.556319e-01
TCGA-DU-7019-01A-11R-2027-07	6.398908e-01	3.859389e-01	2.849170e-02	7.404834e-01	1.083262e+00	6.610497e-01	8.923457e-01	9.613585e-01	6.188880e-01	0	1.936524e-01
TCGA-DU-7290-01A-11R-2027-07	2.615638e-01	8.663009e-01	3.797063e-01	1.352558e+00	9.442225e-01	2.083787e+00	1.198282e+00	7.535966e-02	1.205380e+00	1.143722e-02	3.186046e-01
TCGA-DU-7292-01A-11R-2027-07	1.234777e+00	6.717994e-01	3.568035e-01	4.669309e-01	1.240765e+00	1.559295e+00	1.150630e+00	1.309463e+00	4.677292e-01	1.894881e-02	1.499243e-01
TCGA-DU-7294-01A-11R-2027-07	2.758110e-01	8.100111e-01	1.454642e-01	9.241177e-02	1.510805e+00	4.653057e-01	9.786083e-01	2.573809e+00	6.967093e-01	3.136570e-02	1.298501e-01
TCGA-DU-7298-01A-11R-2027-07	5.475276e-01	1.011189e+00	2.418819e-01	4.554772e-01	1.499727e+00	4.621473e-01	1.227577e+00	1.075987e+00	4.930824e-01	2.763555e-02	4.165351e-03
TCGA-DU-7299-01A-21R-2027-07	2.992596e-01	9.036831e-01	8.543981e-02	2.676835e-01	1.424812e+00	4.833537e-01	1.075839e+00	1.370381e+00	4.006544e-01	5.862046e-02	0
TCGA-DU-7300-01A-21R-2090-07	9.789944e-01	8.358417e-01	1.343870e-01	5.454298e-01	1.259288e+00	7.618977e-01	9.241885e-01	1.878407e+00	7.043051e-01	0	1.340015e-01
TCGA-DU-7301-01A-11R-2090-07	0	8.334043e-01	1.350074e-01	8.258702e-01	1.247196e+00	2.004200e-01	9.465015e-01	6.305760e-01	6.871067e-01	0	2.378105e-01
TCGA-DU-7302-01A-11R-2090-07	1.071569e+00	5.302347e-01	1.010364e-01	1.646307e-01	1.670424e+00	6.195756e-01	1.071810e+00	2.132677e+00	7.030908e-01	6.886680e-03	1.943092e-01
TCGA-DU-7304-01A-12R-2090-07	8.638191e-01	6.775017e-01	1.115760e-01	4.675041e-01	1.274692e+00	8.035035e-01	1.091226e+00	8.739043e-01	4.957390e-01	0	1.880715e-01
TCGA-DU-7304-02A-12R-A36H-07	3.810986e-01	6.032702e-01	5.682284e-01	4.089632e-01	0	1.095939e-01	1.737007e+00	5.568009e-01	8.504921e-01	0	3.689370e-01
