sampleID	D7.6_SENGUPTA-NASOPHARYNGEAL-CARCINOMA-DN	D12.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D7.3_HAEGERSTRAND-RESPONSE-TO-IMATINIB	D15.14_CORNIFIED-ENVELOPE	D12.9_WEBER-METHYLATED-ICP-IN-SPERM-UP	D12.4_GNF2-GLTSCR2	D14.13_ZHOU-PANCREATIC-EXOCRINE-PROGENITOR	D11.10_SCHLESINGER-METHYLATED-IN-COLON-CANCER	D15.12_chryq11	D12.1_MIPS-UTX-MLL2-3-COMPLEX	D12.2_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN
TCGA-AJ-A5DW-01A-11R-A27V-07	8.313751e-01	1.527852e+00	1.427408e+00	2.779524e-01	0	1.582376e-01	0	9.952754e-01	0	3.786146e+00	1.130994e+00
TCGA-AJ-A6NU-01A-11R-A34R-07	5.968916e-01	1.607625e+00	1.271191e+00	1.121951e-01	6.762639e-01	3.977138e-01	4.956770e-01	2.086901e-01	8.420095e-01	2.766122e+00	1.297280e+00
TCGA-AJ-A8CT-01A-11R-A37O-07	2.033965e+00	1.486662e+00	1.915014e+00	0	2.761062e-01	7.458771e-01	1.417010e-01	7.305951e-01	3.205478e-01	2.448786e+00	3.956180e-01
TCGA-AJ-A8CV-01A-11R-A37O-07	1.570779e+00	1.239968e+00	9.201931e-01	0	0	9.582750e-01	2.270125e-01	5.181715e-01	2.497656e-01	2.620842e+00	1.414572e+00
TCGA-AJ-A8CW-01A-11R-A37O-07	8.548168e-01	1.569224e+00	1.049411e+00	1.798117e-01	0	4.745593e-01	3.575737e-01	1.266544e+00	0	2.934119e+00	1.462005e+00
TCGA-AP-A3K1-01A-11R-A213-07	0	4.718216e-01	8.679698e-01	9.664511e-02	0	2.082564e+00	0	3.062500e-02	2.177183e+00	2.810102e+00	1.738881e+00
TCGA-AP-A5FX-01A-11R-A27V-07	1.597989e+00	1.040375e+00	1.044468e+00	0	0	7.331522e-01	0	4.045109e-01	4.331267e-01	3.094194e+00	1.034560e+00
TCGA-AX-A05W-01A-21R-A466-07	1.306704e+00	1.194000e+00	3.746484e-01	5.152877e-01	0	1.727966e+00	2.665631e-01	5.098084e-01	9.614890e-01	1.898331e+00	1.568523e+00
TCGA-AX-A05Y-11A-11R-A27V-07	4.993775e-01	9.425272e-01	4.896244e+00	0	0	5.949011e-01	0	1.201297e-01	0	4.077219e+00	3.883539e-01
TCGA-AX-A0IZ-11A-11R-A27V-07	0	8.157389e-01	5.666380e+00	0	0	6.384674e-01	0	0	0	4.035582e+00	5.084738e-01
TCGA-AX-A0J0-11A-11R-A27V-07	4.514126e-01	1.057948e+00	4.193627e+00	0	6.048048e-01	4.047643e-01	5.431807e-02	8.539297e-01	0	3.781272e+00	0
TCGA-AX-A1C7-01A-11R-A137-07	2.184980e-01	0	3.709732e-01	1.324796e-01	2.709903e+00	2.576611e+00	0	0	0	1.753181e+00	2.234437e+00
TCGA-AX-A2H4-01A-21R-A18M-07	0	1.542671e+00	9.528914e-01	0	0	2.109663e+00	0	0	2.403236e+00	2.705897e+00	1.356089e+00
TCGA-AX-A2HC-11A-11R-A32Y-07	0	1.167114e+00	5.478981e+00	0	0	8.872461e-01	0	0	0	3.474938e+00	8.153580e-01
TCGA-AX-A2HD-11A-11R-A32Y-07	7.682913e-01	6.469525e-01	3.649838e+00	0	1.422312e+00	1.135962e+00	8.308857e-02	2.588693e-01	0	3.104440e+00	6.347938e-01
TCGA-AX-A2HH-01A-11R-A32Y-07	0	2.217664e-02	1.118877e+00	1.611951e+00	0	7.354613e-01	4.946924e-02	0	0	2.904880e+00	2.986997e+00
TCGA-AX-A2IN-01A-12R-A180-07	1.298787e-01	1.816630e+00	2.540030e+00	0	0	2.052430e-01	0	1.463552e-01	1.468129e-02	1.240413e+00	2.030760e+00
TCGA-AX-A3FS-01A-11R-A22K-07	0	1.564635e+00	2.311428e+00	5.154405e-01	6.747800e-02	1.803296e-01	0	0	0	2.102488e+00	2.864087e+00
TCGA-AX-A3FT-01A-11R-A22K-07	0	1.718902e+00	1.208390e+00	2.850360e-01	1.226256e-01	1.821534e+00	1.361606e-01	0	1.371135e+00	2.192935e+00	2.038718e+00
TCGA-AX-A3FV-01A-11R-A22K-07	0	9.522693e-01	1.210914e+00	5.890042e-01	0	7.524978e-01	0	0	6.794820e-01	2.296769e+00	3.643798e+00
TCGA-AX-A3FW-01A-11R-A22K-07	1.408669e+00	7.690330e-01	1.344423e-01	0	1.911168e-01	9.666313e-01	3.647686e-01	5.688844e-01	5.199900e-01	3.177244e+00	2.009040e+00
TCGA-AX-A3FX-01A-11R-A22K-07	1.444945e+00	1.148559e+00	1.342817e+00	0	0	9.032049e-01	0	9.009963e-01	9.566391e-01	2.462624e+00	9.464898e-01
TCGA-AX-A3FZ-01A-11R-A22K-07	0	7.632725e-01	2.713221e+00	7.214385e-01	0	0	0	1.171290e-02	0	1.774225e+00	2.453716e+00
TCGA-AX-A3G1-01A-11R-A22K-07	1.214926e+00	1.679618e+00	8.131247e-01	0	1.927056e-02	5.842957e-01	0	2.711743e-01	1.560956e-01	3.039316e+00	1.214553e+00
TCGA-AX-A3G3-01A-11R-A213-07	0	1.545030e+00	8.339478e-01	3.437713e-03	1.654470e+00	2.107687e+00	0	0	4.386784e-01	3.373845e+00	8.847664e-01
TCGA-AX-A3G4-01A-11R-A213-07	8.473665e-01	9.586306e-01	2.205746e+00	0	3.999166e-01	7.560806e-01	0	8.226949e-01	4.227166e-01	2.637098e+00	1.060139e+00
TCGA-AX-A3G6-01A-11R-A213-07	7.224427e-04	6.455364e-01	2.474988e-01	7.824316e-02	1.922159e-01	1.445440e+00	0	0	1.178157e-01	3.639320e+00	1.788521e+00
TCGA-AX-A3G7-01A-12R-A213-07	7.431722e-01	1.225243e+00	1.072537e+00	1.249735e-02	1.715608e+00	1.437189e+00	2.619630e-02	0	9.370186e-02	3.040872e+00	1.261119e+00
TCGA-AX-A3G8-01A-11R-A22K-07	3.000618e-02	0	2.892600e-01	3.555686e-01	0	2.133479e+00	6.229587e-01	0	0	1.850778e+00	3.411705e+00
TCGA-AX-A3G9-01A-11R-A22K-07	0	5.719050e-01	8.334838e-01	6.095544e-01	0	1.109766e+00	6.497928e-01	1.467577e-01	1.462132e-01	2.658280e+00	3.184403e+00
TCGA-AX-A3GB-01A-11R-A22K-07	1.746103e+00	1.135383e+00	1.803264e+00	3.136374e-01	2.528018e-01	8.072315e-01	2.516934e-01	1.224949e+00	2.711647e-01	2.140672e+00	4.380835e-01
TCGA-AX-A3GI-01A-11R-A213-07	0	5.328302e-01	1.479365e-01	0	1.991350e+00	1.193887e+00	0	0	0	4.271056e+00	1.892449e+00
