sampleID	D8.8_GNF2-SPRR1B	D7.4_MILICIC-FAMILIAL-ADENOMATOUS-POLYPOSIS-DN	D7.2_REACTOME-ENDOSOMAL-VACUOLAR-PATHWAY	D13.8_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D13.4_SINGH-NFE2L2-TARGETS	D14.13_WEBER-METHYLATED-ICP-IN-SPERM-DN	D13.11_GNF2-SPINK1	D13.3_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC	D10.2_REACTOME-BETA-DEFENSINS
TCGA-L5-A4OM-01A-11R-A260-31	7.598584e-01	1.220355e+00	6.217295e-01	4.961579e-01	1.265346e+00	6.924521e-02	8.682388e-03	4.958298e-01	1.235487e+00
TCGA-L5-A4ON-01A-11R-A260-31	3.220079e-01	8.681930e-01	4.697984e+00	3.475388e-01	6.133808e-01	1.899449e-03	4.190194e-01	1.327510e+00	8.810336e-01
TCGA-L5-A4OO-11A-12R-A260-31	0	3.461886e+00	0	0	2.482031e-01	0	2.367760e+00	2.507295e+00	0
TCGA-L5-A4OO-01A-11R-A260-31	0	2.150255e+00	3.636913e+00	1.653404e+00	8.252275e-01	0	5.212209e-01	4.619501e-01	2.414273e-01
TCGA-L5-A4OP-01A-11R-A260-31	7.420360e-02	9.084599e-01	4.528241e+00	3.625901e-01	3.307543e-01	1.524644e-01	0	1.905068e+00	6.940156e-01
TCGA-L5-A4OQ-11A-12R-A260-31	0	4.147422e+00	0	7.221756e-02	0	0	1.804615e-01	3.027078e+00	1.075755e-01
TCGA-L5-A4OQ-01A-11R-A260-31	6.757321e-02	1.485107e+00	4.366004e+00	1.362284e+00	0	1.273613e+00	2.184946e-02	1.552202e+00	8.735956e-01
TCGA-L5-A4OR-11A-11R-A260-31	2.149115e-01	1.856388e+00	1.748751e-01	3.541636e-01	4.319363e-01	0	3.117979e+00	2.482059e+00	1.180689e-01
TCGA-L5-A4OR-01A-11R-A260-31	0	9.718711e-01	4.336504e+00	5.584973e-01	5.595000e-01	2.169768e-01	7.762842e-01	1.449936e+00	0
TCGA-L5-A4OS-01A-11R-A28J-31	0	1.620194e+00	3.736651e+00	1.558817e+00	0	1.268009e+00	0	1.586643e+00	6.872718e-01
TCGA-L5-A4OT-01A-11R-A28J-31	0	2.119280e+00	3.383450e+00	1.200289e+00	3.070711e-01	0	1.218444e+00	1.002537e+00	0
TCGA-L5-A4OU-01A-11R-A28J-31	6.082570e-02	1.900801e+00	3.753713e+00	1.943228e+00	5.233007e-01	0	4.407372e-01	8.905076e-01	2.557393e-01
TCGA-L5-A4OW-01A-11R-A28J-31	3.661082e-01	1.126096e+00	4.686064e+00	9.947909e-01	6.211695e-01	7.356572e-02	3.387948e-01	9.419311e-01	6.417807e-02
TCGA-L5-A4OX-01A-21R-A28J-31	0	7.958831e-01	4.405792e+00	4.817872e-01	4.002572e-01	0	1.165527e-01	1.622698e+00	0
TCGA-L5-A88S-01A-11R-A36D-31	4.717447e-01	2.544809e+00	6.468396e-02	4.597371e-01	4.945120e-01	0	0	1.981822e+00	3.461252e+00
TCGA-L5-A88T-01A-11R-A354-31	1.721220e+00	1.778876e+00	1.982196e+00	6.537969e-01	8.452610e-01	0	1.164125e-01	1.882211e+00	4.798789e-01
TCGA-L5-A88V-01A-11R-A354-31	7.488275e-01	5.735849e-01	3.334208e+00	3.439589e-01	5.639878e-01	0	4.482596e-01	1.733708e+00	1.932862e-01
TCGA-L5-A88W-01A-11R-A354-31	6.243050e-01	0	0	0	1.190446e-01	0	0	2.651786e+00	5.493833e+00
TCGA-L5-A88Y-01A-11R-A354-31	1.072513e+00	1.244701e+00	4.287450e+00	1.001458e+00	5.973429e-01	0	3.668124e-02	1.531201e+00	1.384213e+00
TCGA-L5-A88Z-01A-11R-A36D-31	7.472025e-01	8.712678e-01	1.677519e-01	3.189038e-01	2.698909e+00	0	0	1.952464e+00	2.635882e+00
TCGA-L5-A891-01A-11R-A36D-31	0	5.677872e-01	3.380776e+00	0	1.708124e-01	0	0	2.357514e+00	4.528932e-01
TCGA-L5-A893-01A-11R-A36D-31	1.238642e+00	1.417183e+00	3.432232e+00	1.094991e+00	6.381726e-01	0	7.187042e-01	1.561028e+00	2.957831e-01
TCGA-L5-A8NE-01A-11R-A37I-31	0	5.083612e-01	3.810693e+00	2.611717e-01	1.725032e-01	1.593307e-01	1.116987e+00	1.940631e+00	1.103993e-02
TCGA-L5-A8NF-01A-11R-A37I-31	0	1.097708e+00	3.579730e+00	5.168602e-01	2.076497e-01	3.299576e-01	1.469151e+00	1.593128e+00	0
TCGA-L5-A8NG-01A-11R-A37I-31	1.876623e-01	1.972979e+00	4.577434e+00	1.226291e+00	6.560690e-01	1.255666e-01	4.333830e-01	6.055556e-01	0
TCGA-L5-A8NH-01A-11R-A37I-31	0	7.690686e-01	4.918493e+00	1.009142e+00	5.230578e-01	2.150139e-01	4.412124e-01	1.774632e+00	1.307739e-01
TCGA-L5-A8NI-01A-11R-A37I-31	0	1.608017e+00	3.284388e+00	5.113882e-01	1.624923e-01	8.061141e-02	1.001407e+00	1.323312e+00	1.792648e-01
TCGA-L5-A8NJ-01A-11R-A36D-31	1.812932e-01	1.262207e-01	4.171361e+00	4.220471e-01	5.610113e-01	0	4.327595e-01	2.053235e+00	0
TCGA-L5-A8NK-01A-21R-A37I-31	1.512021e+00	1.484352e+00	5.195033e-01	5.601758e-01	8.852175e-01	2.016282e-01	0	1.278461e+00	1.455111e+00
TCGA-L5-A8NL-01A-12R-A37I-31	0	2.377955e+00	2.780674e+00	8.734429e-01	2.248873e-01	3.430435e-02	1.162577e+00	1.179631e+00	9.397218e-03
TCGA-L5-A8NM-01A-11R-A37I-31	0	6.543230e-01	4.915506e+00	9.926306e-01	1.160774e-01	0	1.455491e-01	1.676819e+00	2.127764e-01
TCGA-L5-A8NN-01A-11R-A37I-31	0	1.188861e+00	3.203358e+00	1.281692e+00	0	1.934855e+00	2.189418e-01	2.140192e+00	0
TCGA-L5-A8NQ-01A-11R-A36D-31	1.506877e+00	1.592153e+00	9.626204e-01	1.207463e+00	7.900708e-01	0	0	1.768621e+00	1.579154e+00
TCGA-L5-A8NR-01A-11R-A37I-31	0	1.220313e+00	4.571296e+00	3.839610e-01	1.591271e-01	0	0	1.155733e+00	1.888032e-01
TCGA-L5-A8NS-01A-12R-A37I-31	0	2.195483e+00	3.682628e+00	1.262990e+00	7.429916e-01	8.715103e-02	8.112986e-01	2.718459e-01	2.370841e-02
TCGA-L5-A8NT-01A-11R-A37I-31	1.882977e-01	2.350026e+00	3.582852e+00	9.899991e-01	6.616569e-01	0	5.052994e-01	4.026588e-01	3.655431e-01
TCGA-L5-A8NU-01A-11R-A36D-31	1.576292e-01	2.696900e+00	3.185038e+00	2.021595e+00	5.968558e-01	0	1.088633e+00	1.195641e+00	0
TCGA-L5-A8NV-01A-11R-A37I-31	6.912308e-01	1.809614e+00	3.690485e+00	1.437628e+00	6.510208e-01	0	1.161989e+00	1.081807e+00	2.820654e-01
TCGA-L5-A8NW-01A-11R-A37I-31	1.423169e+00	1.393704e+00	2.893458e+00	6.942130e-01	7.010487e-01	0	4.696173e-02	8.883706e-01	1.557726e+00
TCGA-L7-A56G-01A-21R-A260-31	1.348987e+00	1.013644e+00	5.989508e-01	5.280048e-01	5.220365e-01	0	0	9.453898e-01	1.548449e+00
TCGA-L7-A6VZ-01A-12R-A336-31	0	4.349242e-01	4.029506e+00	4.637829e-01	5.657608e-01	1.711915e-01	6.573651e-01	2.198498e+00	2.364876e-01
TCGA-LN-A49K-01A-11R-A24K-31	4.361109e-01	1.891896e+00	3.700011e-01	9.534566e-01	2.297908e+00	7.333649e-02	0	1.251839e+00	1.837062e+00
TCGA-LN-A49L-01A-11R-A24K-31	2.171613e-01	1.382082e+00	5.856199e-01	5.251969e-01	4.727787e-01	7.494143e-01	0	1.367858e+00	9.667051e-01
TCGA-LN-A49M-01A-21R-A260-31	5.923766e-01	6.023517e-01	0	0	6.637057e-01	0	0	1.551657e+00	5.258800e+00
TCGA-LN-A49N-01A-11R-A24K-31	3.544074e-01	2.283637e+00	5.260851e-01	8.511290e-01	1.669501e+00	0	0	3.001928e-01	2.920999e+00
TCGA-LN-A49O-01A-11R-A24K-31	0	7.637596e-01	1.676056e-01	4.979868e-01	0	0	0	1.529773e+00	4.204048e+00
TCGA-LN-A49P-01A-11R-A24K-31	4.767177e-01	1.982527e+00	9.628151e-01	1.244772e+00	2.115433e+00	0	0	1.161265e+00	1.384366e+00
TCGA-LN-A49R-01A-11R-A24K-31	3.535541e-01	1.428968e+00	6.908933e-01	1.008531e+00	2.132526e+00	0	0	1.299500e+00	3.270508e+00
TCGA-LN-A49S-01A-11R-A24K-31	1.472068e+00	1.048752e+00	1.265661e+00	1.122721e+00	1.195744e+00	2.088278e-01	1.065827e-01	1.428210e+00	6.721361e-01
TCGA-LN-A49U-01A-31R-A260-31	0	8.382207e-01	0	0	1.924628e+00	0	0	1.113355e+00	4.243274e+00
TCGA-LN-A49V-01A-11R-A24K-31	0	1.164488e+00	1.611959e-01	0	2.309626e-01	7.161138e-02	0	1.530762e+00	4.940553e-01
TCGA-LN-A49W-01A-11R-A260-31	1.708818e-01	2.178084e+00	9.134728e-01	1.445280e+00	6.818711e-01	1.387880e-01	0	8.091213e-01	2.681577e+00
TCGA-LN-A49X-01A-31R-A260-31	3.688739e-02	1.930114e+00	2.543348e-01	5.374440e-01	8.393115e-01	0	0	1.020500e+00	3.515638e+00
TCGA-LN-A49Y-01A-11R-A260-31	4.157032e-01	9.931750e-01	0	3.692137e-01	1.433723e+00	1.731393e-01	2.219603e-01	1.686968e+00	2.121926e+00
TCGA-LN-A4A1-01A-21R-A260-31	3.857868e-01	7.905522e-01	0	0	6.722029e-01	0	0	1.409614e+00	4.953615e+00
TCGA-LN-A4A2-01A-31R-A260-31	0	8.864657e-01	0	0	1.961800e+00	0	0	8.952409e-01	3.849131e+00
TCGA-LN-A4A3-01A-11R-A260-31	1.018402e+00	7.840577e-01	5.303487e-01	7.168929e-01	5.305768e-01	2.995303e-01	0	1.155044e+00	3.009446e+00
TCGA-LN-A4A4-01A-11R-A260-31	3.299280e-01	1.505738e+00	0	0	2.200478e+00	1.389003e-02	0	8.472596e-01	2.784404e+00
TCGA-LN-A4A5-01A-21R-A260-31	0	2.610558e+00	4.751572e-01	6.045775e-01	7.978571e-01	1.479194e-01	0	7.524151e-01	2.005497e+00
TCGA-LN-A4A6-01A-11R-A260-31	2.523159e-02	6.670431e-01	4.370272e-01	2.520802e-01	1.412046e+00	2.539927e-01	0	1.099902e+00	3.084586e+00
TCGA-LN-A4A8-01A-32R-A260-31	1.897823e-01	1.654381e+00	1.098888e+00	1.092183e+00	1.176163e+00	1.605524e-01	0	2.938353e-01	9.206884e-01
TCGA-LN-A4A9-01A-11R-A28J-31	2.752443e-01	1.591204e+00	3.805656e-01	6.959928e-01	4.553028e-01	0	0	1.166898e+00	4.614312e+00
TCGA-LN-A4MQ-01A-11R-A28J-31	7.919034e-01	1.373369e+00	0	0	2.702765e+00	1.179261e-01	0	1.138717e+00	1.089140e+00
TCGA-LN-A4MR-01A-11R-A28J-31	6.639956e-01	1.295179e+00	1.053616e+00	5.678431e-01	8.931463e-01	0	0	8.843259e-01	3.955699e+00
TCGA-LN-A5U5-01A-21R-A28J-31	3.405569e-01	1.114919e+00	1.608654e+00	1.430640e+00	1.960670e+00	2.370667e-01	9.741820e-02	1.532847e+00	1.068507e+00
TCGA-LN-A5U6-01A-11R-A28J-31	0	1.195593e+00	0	2.497664e-01	1.712040e+00	0	2.690147e-02	1.226093e+00	3.759577e+00
TCGA-LN-A5U7-01A-11R-A31P-31	0	5.023441e-01	0	2.062507e-01	1.852407e+00	7.217638e-04	0	1.389838e+00	4.046514e+00
TCGA-LN-A7HV-01A-21R-A354-31	1.633701e-01	7.755408e-01	0	2.215299e-01	1.174466e+00	0	0	2.327071e+00	3.541344e+00
TCGA-LN-A7HW-01A-22R-A354-31	1.203481e-01	1.279447e+00	0	0	2.589528e+00	0	0	1.150753e+00	3.655797e+00
TCGA-LN-A7HX-01A-11R-A336-31	4.863802e-01	4.917773e-01	3.304248e-01	1.457135e-01	1.453715e+00	0	0	1.595286e+00	4.129852e+00
TCGA-LN-A7HY-01A-12R-A354-31	5.194181e-01	2.052039e+00	6.807273e-01	8.311516e-01	5.559998e-01	6.965281e-02	0	1.606991e+00	1.861768e+00
TCGA-LN-A7HZ-01A-31R-A354-31	0	1.247439e+00	1.014908e-01	1.238161e+00	2.932229e+00	0	0	2.151511e+00	1.924483e+00
TCGA-LN-A8HZ-01A-11R-A36D-31	5.936246e-01	6.967325e-01	3.116645e-01	3.917917e-01	2.530484e+00	1.064478e-01	0	1.326005e+00	2.436266e+00
TCGA-LN-A8I0-01A-11R-A36D-31	5.064163e-01	7.599881e-01	4.363875e-01	5.825965e-01	2.165607e+00	0	0	1.853766e+00	3.640610e+00
TCGA-LN-A8I1-01A-11R-A36D-31	5.427433e-01	9.986865e-01	8.125106e-01	1.514344e+00	1.738292e+00	6.090867e-03	0	1.694801e+00	1.817851e+00
TCGA-LN-A9FO-01A-11R-A38D-31	5.519361e-01	1.115329e+00	1.173976e+00	1.220794e+00	4.107687e-01	3.139284e-01	0	1.209192e+00	2.115421e+00
TCGA-LN-A9FP-01A-31R-A38D-31	1.728215e-01	3.338137e+00	9.884379e-02	7.623348e-01	1.359410e+00	0	1.459703e-01	1.329396e+00	1.007733e+00
TCGA-LN-A9FQ-01A-31R-A38D-31	9.644146e-02	1.524182e+00	2.365615e-01	1.250587e-01	2.757824e+00	0	0	1.192006e+00	2.675357e+00
TCGA-LN-A9FR-01A-11R-A38D-31	0	1.616527e+00	5.131281e-01	2.841030e-01	1.565318e+00	0	0	8.432942e-01	3.050163e+00
TCGA-M9-A5M8-01A-11R-A28J-31	6.088461e-01	8.788692e-01	4.228200e+00	7.338638e-01	5.360141e-01	0	4.269262e-01	9.577371e-01	1.675303e-01
TCGA-Q9-A6FU-01A-11R-A31P-31	1.583864e-01	1.219475e+00	2.587656e-01	4.264090e-01	1.509104e+00	0	2.899141e-02	6.548623e-01	3.368302e+00
TCGA-Q9-A6FW-01A-31R-A31P-31	1.449185e+00	1.394742e+00	3.543343e+00	1.016182e+00	5.628127e-01	0	4.252689e-01	1.052943e+00	7.825251e-01
TCGA-R6-A6DN-01B-11R-A31P-31	0	4.765913e-01	2.594949e+00	4.341683e-01	0	3.750003e-02	0	1.696361e+00	6.543125e-01
TCGA-R6-A6DQ-01B-11R-A31P-31	0	1.370093e+00	4.096145e+00	1.554640e+00	4.567473e-01	4.549237e-01	9.765724e-01	1.212209e+00	2.072699e-01
