sampleID	D11.8_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D8.6_DOANE-BREAST-CANCER-ESR1-DN	D11.3_FARMER-BREAST-CANCER-CLUSTER-5	D11.5_NAKAYAMA-SOFT-TISSUE-TUMORS-PCA2-DN	D11.10_REACTOME-GLUCURONIDATION	D11.1_MODULE-352	D11.2_NADH-DEHYDROGENASE-COMPLEX	D9.8_SMID-BREAST-CANCER-RELAPSE-IN-LIVER-DN	D9.2_FINETTI-BREAST-CANCERS-KINOME-BLUE
TCGA-A2-A1G6-01A-11R-A13Q-07	1.302490e-01	1.621227e+00	5.623880e-01	1.303928e+00	1.436525e-02	3.440749e+00	2.179413e+00	4.302255e-01	2.032479e+00
TCGA-A2-A259-01A-11R-A16F-07	3.322949e-01	6.909304e-01	9.732788e-01	8.231496e-01	0	3.651739e+00	2.548730e+00	1.986448e-01	3.262585e+00
TCGA-A2-A25A-01A-12R-A16F-07	3.963388e-01	1.026727e+00	1.096223e+00	1.040014e+00	0	3.453517e+00	2.338328e+00	4.425073e-01	2.125656e+00
TCGA-A2-A25B-01A-11R-A169-07	1.651096e-01	0	1.396236e+00	1.283547e-02	0	4.373866e+00	2.745401e+00	8.140820e-01	1.807604e+00
TCGA-A2-A25C-01A-11R-A169-07	3.263798e-01	4.914624e-02	1.204059e+00	5.110908e-01	0	4.045093e+00	2.275656e+00	1.098880e+00	1.701906e+00
TCGA-A2-A25D-01A-12R-A16F-07	6.831513e-01	2.149423e-01	7.159716e-01	8.916644e-01	0	3.231927e+00	3.332922e+00	0	3.064017e+00
TCGA-A2-A25E-01A-11R-A169-07	2.250708e-01	1.773475e-01	9.121808e-01	4.832002e-01	0	3.977562e+00	2.790924e+00	8.342041e-01	2.724566e+00
TCGA-A2-A25F-01A-11R-A169-07	1.001871e+00	4.878162e-01	1.141460e+00	1.390365e+00	0	4.144881e+00	2.335618e+00	0	3.564446e-01
TCGA-A2-A3KC-01A-11R-A213-07	2.820577e-01	6.565376e-01	1.167948e+00	9.471679e-01	0	3.294240e+00	2.721800e+00	4.470552e-01	2.693951e+00
TCGA-A2-A3KD-01A-12R-A213-07	1.769355e-01	7.113560e-01	9.186177e-01	6.943811e-01	1.047546e-02	3.392289e+00	2.794095e+00	8.544796e-01	2.335584e+00
