sampleID	D6.3_FARMER-BREAST-CANCER-CLUSTER-5	D10.9_AUJLA-IL22-AND-IL17A-SIGNALING	D6.5_REACTOME-FGFR4-LIGAND-BINDING-AND-ACTIVATION	D10.6_chryq11	D6.1_MODULE-293
TCGA-24-1474-01A-01R-1566-13	7.292668e-01	0	1.878151e+00	0	5.266499e+00
TCGA-24-1544-01A-01R-1566-13	3.410814e-01	6.102664e-01	2.898110e+00	9.525466e-01	2.036176e+00
TCGA-24-1545-01A-01R-1566-13	2.564858e+00	0	2.484101e-01	8.561518e-01	4.415456e+00
TCGA-24-1546-01A-01R-1566-13	2.604023e+00	4.396531e-01	6.106145e-02	8.240466e-01	4.201451e+00
TCGA-24-1548-01A-01R-1566-13	4.808812e-01	6.515816e-02	1.475551e+00	1.446275e+00	4.527811e+00
TCGA-24-1549-01A-01R-1566-13	9.252419e-01	0	9.214497e-01	0	5.318938e+00
TCGA-24-1550-01A-01R-1566-13	2.637556e+00	3.800780e-01	3.004697e+00	0	3.425368e+00
TCGA-24-1551-01A-01R-1566-13	1.236337e+00	3.293991e-01	3.559995e-01	0	6.199891e+00
TCGA-24-1552-01A-01R-1566-13	1.320026e+00	0	1.741694e-01	0	5.274919e+00
TCGA-24-1553-01A-01R-1566-13	1.638852e+00	6.053677e-02	3.873980e-02	9.819421e-01	4.782527e+00
TCGA-24-1555-01A-01R-1566-13	2.076937e-01	2.433591e-01	1.069382e-01	1.672244e+00	4.163477e+00
TCGA-24-1556-01A-01R-1566-13	1.182460e+00	0	5.271164e-01	0	5.905002e+00
TCGA-24-1557-01A-01R-1566-13	7.681184e-01	4.616912e-01	7.113206e-01	2.405173e-01	4.617380e+00
TCGA-24-1558-01A-01R-1566-13	1.021178e+00	0	1.329325e+00	4.319249e-01	4.338706e+00
TCGA-24-1560-01A-01R-1566-13	1.770364e-01	4.915738e-01	1.111553e+00	1.655288e+00	4.034519e+00
TCGA-24-1562-01A-01R-1566-13	2.010572e+00	1.934713e-01	4.984992e-02	1.016306e+00	4.260425e+00
TCGA-24-1563-01A-01R-1566-13	2.758409e+00	1.336837e-01	7.702289e-02	0	4.508089e+00
TCGA-24-1564-01A-01R-1566-13	2.406046e+00	2.064659e-01	9.938895e-01	3.858583e-01	4.719513e+00
TCGA-24-1567-01A-01R-1566-13	6.193880e-01	1.106353e+00	3.622342e+00	0	2.326092e+00
TCGA-24-1603-01A-01R-1566-13	1.001751e+00	1.465696e-01	5.721962e-01	1.434374e+00	4.559769e+00
TCGA-24-1604-01A-01R-1566-13	9.923715e-01	2.282605e-01	1.680204e-01	1.341261e+00	4.484988e+00
TCGA-24-1616-01A-01R-1566-13	4.594302e-01	1.174463e+00	1.015819e+00	2.017743e+00	3.592950e+00
TCGA-24-1842-01A-01R-1567-13	1.794542e+00	0	0	0	6.388626e+00
TCGA-24-1843-01A-01R-1567-13	1.387587e+00	0	1.131092e+00	0	4.938554e+00
TCGA-24-1844-01A-01R-1567-13	4.194997e-01	2.358600e-01	1.098232e+00	5.698178e-01	3.468430e+00
TCGA-24-1846-01A-01R-1567-13	1.796066e+00	3.530594e-02	2.426440e-01	0	5.853953e+00
TCGA-24-1847-01A-01R-1566-13	1.446656e+00	7.693912e-01	2.894225e-03	0	5.643791e+00
TCGA-24-1849-01A-01R-1567-13	3.087621e+00	1.353277e-02	4.474227e-01	0	4.830278e+00
TCGA-24-1850-01A-01R-1567-13	2.231904e+00	3.914316e-01	2.184014e+00	0	3.711009e+00
TCGA-24-1924-01A-01R-1567-13	1.323303e+00	5.564056e-01	2.327981e-01	4.486401e-01	5.401008e+00
TCGA-24-1928-01A-01R-1567-13	2.320003e+00	1.302011e-01	9.528212e-01	5.889562e-01	4.445249e+00
TCGA-24-1930-01A-01R-1567-13	2.266615e+00	1.183435e-01	0	8.084910e-02	5.641432e+00
TCGA-24-2019-01A-02R-1568-13	7.401663e-01	7.206342e-01	1.819905e+00	0	4.331476e+00
TCGA-24-2020-01A-01R-1567-13	9.925355e-01	4.518151e-01	3.597760e+00	0	3.148089e+00
TCGA-24-2023-01A-01R-1567-13	6.012811e-01	1.047673e+00	3.065776e-01	2.393370e-01	5.309442e+00
TCGA-24-2024-01A-02R-1568-13	1.935387e+00	0	2.957485e-01	6.925740e-01	3.605800e+00
TCGA-24-2026-01A-01R-1567-13	1.196399e+00	0	0	0	6.554815e+00
TCGA-24-2027-01A-01R-1567-13	9.008012e-01	8.069757e-01	2.686761e+00	0	2.670963e+00
TCGA-24-2033-01A-01R-1568-13	1.801225e+00	0	6.699769e-01	1.805254e+00	3.566634e+00
TCGA-24-2035-01A-01R-1568-13	2.923306e+00	0	5.050442e-01	2.478611e-01	4.105874e+00
TCGA-24-2036-01A-01R-1568-13	5.753921e-01	1.034519e-01	1.445579e+00	3.407753e-01	3.633857e+00
TCGA-24-2038-01A-01R-1568-13	9.213396e-01	5.236729e-01	2.432035e-01	1.829164e+00	3.317773e+00
TCGA-24-2254-01A-01R-1568-13	1.501046e+00	3.747980e-01	1.355088e+00	3.928735e-01	3.996540e+00
TCGA-24-2261-01A-01R-1568-13	1.758861e+00	0	3.445434e-01	2.463349e-01	5.961673e+00
TCGA-24-2262-01A-01R-1568-13	1.954861e+00	4.765349e-01	7.979306e-01	0	5.780271e+00
TCGA-24-2267-01A-01R-1568-13	1.427441e+00	1.782266e-03	0	4.958798e-01	6.042945e+00
TCGA-24-2271-01A-01R-1568-13	2.011965e+00	1.675752e-01	0	8.162916e-01	4.812635e+00
TCGA-24-2281-01A-01R-1568-13	1.435822e+00	0	4.489367e-01	1.322297e-01	4.899696e+00
TCGA-24-2288-01A-01R-1568-13	2.114966e+00	1.617002e-01	4.815033e-01	4.345124e-01	5.241876e+00
TCGA-24-2289-01A-01R-1568-13	2.645227e+00	0	9.336283e-01	0	4.673776e+00
TCGA-24-2290-01A-01R-1568-13	1.412388e+00	3.425325e-01	2.873529e-01	0	6.026326e+00
TCGA-24-2293-01A-01R-1568-13	2.741815e+00	1.768626e-01	9.113321e-01	0	4.749193e+00
TCGA-24-2297-01A-01R-1568-13	7.265280e-01	3.128775e-01	7.520522e-01	1.211159e-01	4.330653e+00
TCGA-24-2298-01A-01R-1569-13	2.330895e+00	1.491192e-01	0	5.332952e-02	5.445258e+00
TCGA-25-1312-01A-01R-1565-13	8.394041e-01	3.400088e-01	1.288557e+00	1.123656e+00	3.776332e+00
TCGA-25-1313-01A-01R-1565-13	1.445513e+00	3.940503e-01	7.159485e-02	3.408523e-01	5.225620e+00
TCGA-25-1314-01A-01R-1565-13	1.724403e+00	0	2.634473e-01	1.414713e+00	4.400121e+00
TCGA-25-1315-01A-01R-1565-13	3.532837e-01	4.637744e-01	2.675957e+00	6.544469e-01	2.649923e+00
TCGA-25-1316-01A-01R-1565-13	1.505316e+00	3.867074e-01	3.205233e+00	0	2.820121e+00
TCGA-25-1317-01A-01R-1565-13	1.656130e+00	3.533513e-01	1.497336e+00	8.834658e-01	2.586940e+00
TCGA-25-1318-01A-01R-1565-13	1.836646e+00	6.466395e-01	3.123323e-01	5.894260e-01	4.540532e+00
TCGA-25-1319-01A-01R-1565-13	6.622364e-01	7.867840e-02	9.247746e-01	1.125580e+00	4.805515e+00
TCGA-25-1320-01A-01R-1565-13	2.459739e+00	0	9.882383e-01	8.242810e-02	4.336481e+00
TCGA-25-1321-01A-01R-1565-13	6.488982e-01	7.499391e-02	6.384163e-01	8.056022e-01	3.959098e+00
TCGA-25-1322-01A-01R-1565-13	1.611571e+00	5.677624e-01	7.330844e-01	2.960820e-01	5.071281e+00
TCGA-25-1323-01A-01R-1565-13	1.550964e+00	4.930388e-01	2.212750e+00	4.699247e-01	2.525736e+00
TCGA-25-1324-01A-01R-1565-13	4.962172e-01	0	2.387556e+00	1.615082e+00	2.664828e+00
TCGA-25-1326-01A-01R-1565-13	2.274212e+00	4.987409e-01	1.022022e+00	0	4.786098e+00
TCGA-25-1328-01A-01R-1565-13	2.308009e+00	4.119317e-02	3.203378e-01	1.251608e+00	3.692034e+00
TCGA-25-1329-01A-01R-1565-13	2.140922e+00	1.858636e-01	9.815413e-01	5.953474e-01	4.427983e+00
TCGA-25-1623-01A-01R-1566-13	3.008177e+00	2.492559e-01	1.364757e+00	3.092083e-02	4.391195e+00
TCGA-25-1625-01A-01R-1566-13	1.757498e+00	1.042497e+00	2.184482e-01	4.642679e-02	5.157781e+00
TCGA-25-1626-01A-01R-1566-13	3.222948e+00	6.696315e-02	1.448676e+00	3.031221e-01	3.947891e+00
TCGA-25-1627-01A-01R-1566-13	1.256685e+00	5.167484e-01	1.429485e+00	5.080423e-01	3.624396e+00
TCGA-25-1628-01A-01R-1566-13	2.582529e+00	0	1.507785e+00	4.294046e-01	3.536168e+00
TCGA-25-1630-01A-01R-1566-13	1.494770e+00	7.113452e-01	7.059614e-01	1.983519e-01	4.428479e+00
TCGA-25-1631-01A-01R-1569-13	8.076043e-01	1.198026e+00	1.341095e+00	9.272343e-01	3.851637e+00
TCGA-25-1632-01A-01R-1566-13	1.048810e+00	0	1.162225e+00	8.488131e-01	2.250288e+00
TCGA-25-1633-01A-01R-1566-13	2.640169e+00	0	1.757144e+00	4.233506e-01	3.750273e+00
TCGA-25-1634-01A-01R-1566-13	7.345142e-01	0	2.641715e+00	7.988369e-01	1.127505e+00
TCGA-25-1635-01A-01R-1566-13	2.202718e+00	4.824383e-01	1.133930e+00	2.384299e-01	4.994624e+00
TCGA-25-1870-01A-01R-1567-13	9.762053e-01	4.260387e-02	1.146642e+00	1.045602e+00	3.477079e+00
TCGA-25-1871-01A-01R-1567-13	3.673146e-01	0	3.391633e+00	6.193945e-01	1.498598e+00
TCGA-25-2042-01A-01R-1568-13	3.430404e+00	2.903511e-03	6.380583e-01	0	4.363423e+00
TCGA-25-2391-01A-01R-1569-13	7.923428e-01	9.471801e-01	7.486480e-01	6.751181e-01	5.118193e+00
TCGA-25-2392-01A-01R-1569-13	1.312689e+00	5.242738e-01	8.664366e-01	4.636867e-01	5.095009e+00
TCGA-25-2393-01A-01R-1569-13	1.538922e+00	1.327263e-01	2.802178e+00	2.296709e-02	2.525516e+00
TCGA-25-2396-01A-01R-1569-13	1.447283e+00	0	2.149540e-01	4.021782e-01	5.127444e+00
TCGA-25-2397-01A-01R-1569-13	1.020385e+00	5.474981e-01	0	1.594224e+00	4.728876e+00
TCGA-25-2398-01A-01R-1569-13	2.823920e+00	0	1.650685e+00	6.967514e-01	2.934463e+00
TCGA-25-2399-01A-01R-1569-13	2.017512e+00	0	3.231135e-01	2.713587e-01	4.839891e+00
TCGA-25-2400-01A-01R-1569-13	1.825609e-01	1.034819e+00	2.069070e+00	7.280184e-01	4.017602e+00
TCGA-25-2401-01A-01R-1569-13	2.664184e+00	1.100313e-01	1.820887e-01	6.362419e-01	5.026137e+00
TCGA-25-2404-01A-01R-1569-13	2.308811e+00	2.141196e-01	2.097610e-01	0	5.082398e+00
TCGA-25-2409-01A-01R-1569-13	1.894486e+00	8.004473e-02	0	7.088591e-01	4.777838e+00
TCGA-29-1688-01A-01R-1566-13	1.536001e+00	3.402002e-01	0	0	6.161958e+00
TCGA-29-1690-01A-01R-1566-13	1.961713e+00	8.501960e-01	0	8.497106e-01	4.075604e+00
TCGA-29-1691-01A-01R-1566-13	1.403543e+00	1.282937e-01	2.167375e+00	0	4.734079e+00
TCGA-29-1693-01A-01R-1567-13	2.508959e+00	0	0	2.048457e-01	4.134536e+00
TCGA-29-1694-01A-01R-1567-13	1.803005e+00	7.969736e-01	0	4.821537e-01	4.810340e+00
TCGA-29-1695-01A-01R-1567-13	2.201641e+00	0	9.733539e-01	0	5.006312e+00
TCGA-29-1696-01A-01R-1567-13	2.734051e-01	1.020257e+00	1.981195e-01	3.061093e-01	4.259402e+00
TCGA-29-1697-01A-01R-1567-13	3.487707e-01	6.314974e-01	2.240976e+00	1.282080e+00	3.932636e+00
TCGA-29-1698-01A-01R-1567-13	2.077322e+00	0	1.576936e+00	0	4.424323e+00
TCGA-29-1699-01A-01R-1567-13	1.545961e+00	0	4.146750e-01	2.190077e-01	5.843494e+00
TCGA-29-1701-01A-01R-1567-13	2.191178e+00	2.992287e-01	6.772079e-01	0	4.347007e+00
TCGA-29-1702-01A-01R-1567-13	1.046345e+00	0	2.268536e+00	1.140118e+00	2.684703e+00
TCGA-29-1703-01A-01R-1567-13	1.347436e+00	0	6.255279e-01	6.363557e-01	4.057996e+00
TCGA-29-1705-01A-01R-1567-13	2.348157e+00	0	2.677158e-01	2.835281e-01	4.492189e+00
TCGA-29-1710-01A-02R-1567-13	2.604877e+00	0	3.307636e-03	0	5.772124e+00
TCGA-29-1711-01A-01R-1567-13	1.843097e+00	8.868373e-03	0	0	5.910713e+00
TCGA-29-1761-01A-01R-1567-13	1.093769e+00	8.339364e-01	1.384890e+00	0	4.538977e+00
TCGA-29-1762-01A-01R-1567-13	7.898695e-01	5.654829e-01	2.811857e+00	2.978270e-01	2.636951e+00
TCGA-29-1763-01A-02R-1567-13	1.373740e+00	0	1.293212e+00	8.989249e-01	3.646444e+00
TCGA-29-1770-01A-01R-1567-13	2.715739e+00	0	0	7.682857e-01	4.103413e+00
TCGA-29-1770-02A-01R-1567-13	1.923587e+00	0	0	5.436483e-01	4.544559e+00
TCGA-29-1776-01A-01R-1567-13	1.711536e+00	2.227122e-01	0	8.544443e-01	3.891115e+00
TCGA-29-1778-01A-01R-1567-13	9.322875e-01	0	3.494052e-01	1.094702e+00	4.756796e+00
TCGA-29-1781-01A-01R-1567-13	1.668509e+00	1.555897e-01	4.929784e-01	7.685707e-01	5.260480e+00
TCGA-29-1783-01A-01R-1567-13	1.733858e+00	1.528895e-01	8.134112e-01	1.052707e+00	3.639982e+00
TCGA-29-1784-01A-02R-1567-13	8.882326e-01	6.398279e-01	3.293168e-01	2.650638e-01	5.348796e+00
TCGA-29-1785-01A-01R-1567-13	1.876816e+00	0	0	1.306566e-03	5.152272e+00
TCGA-29-2414-01A-02R-1569-13	1.905696e+00	0	1.353822e+00	9.023698e-01	2.531765e+00
TCGA-29-2414-02A-01R-1569-13	1.032066e+00	0	1.002369e+00	1.077094e+00	3.428744e+00
TCGA-29-2425-01A-01R-1569-13	1.344138e+00	0	7.792181e-01	7.370109e-01	2.907652e+00
TCGA-29-2427-01A-01R-1569-13	2.116741e+00	5.613676e-01	0	2.662593e-02	5.833775e+00
TCGA-29-2428-01A-01R-1569-13	1.571492e+00	6.438099e-01	9.845489e-01	4.926337e-01	3.893551e+00
TCGA-29-A5NZ-01A-11R-A406-31	1.802431e+00	0	2.474006e+00	8.673481e-01	2.885814e+00
TCGA-30-1718-01A-01R-1567-13	2.223338e+00	3.532559e-01	2.507332e-01	0	4.839595e+00
TCGA-30-1855-01A-01R-1567-13	2.349096e+00	0	6.302099e-01	4.292156e-02	4.652146e+00
TCGA-30-1857-01A-02R-1569-13	2.668646e+00	7.698962e-01	0	4.286780e-02	4.747297e+00
TCGA-30-1860-01A-01R-1568-13	1.695443e+00	6.784721e-01	8.282746e-01	0	6.083471e+00
TCGA-30-1861-01A-01R-1568-13	2.574920e+00	0	1.231239e+00	0	3.281098e+00
TCGA-30-1862-01A-02R-1568-13	2.275771e+00	2.144530e-02	2.148007e-01	7.749931e-01	4.331283e+00
TCGA-30-1891-01A-01R-1568-13	2.800686e+00	1.231851e-01	3.214638e-01	7.461650e-01	4.086363e+00
TCGA-31-1944-01A-01R-1568-13	1.671911e+00	2.081555e-01	6.520216e-01	0	4.620700e+00
TCGA-31-1946-01A-01R-1568-13	2.182226e+00	1.520567e-01	1.455292e-01	0	5.430966e+00
TCGA-31-1951-01A-01R-1568-13	2.381248e+00	0	1.211554e-01	2.912232e-01	5.545809e+00
TCGA-31-1953-01A-01R-1568-13	2.255884e+00	0	0	0	6.185005e+00
