sampleID	D12.10_GNF2-TTN	D12.11_RICKMAN-HEAD-AND-NECK-CANCER-D	D11.2_MOSERLE-IFNA-RESPONSE	D7.4_CORNIFIED-ENVELOPE	D12.5_FARMER-BREAST-CANCER-CLUSTER-5	D16.16_WEBER-METHYLATED-ICP-IN-SPERM-UP	D17.14_SINGH-NFE2L2-TARGETS	D14.8_GNF2-SPRR1B	D14.10_RUNNE-GENDER-EFFECT-UP	D10.2_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC	D9.2_GNF2-CDH3
TCGA-CN-6010-01A-11R-1686-07	1.620758e-01	1.159465e+00	1.281983e+00	1.133945e-01	1.146794e+00	0	1.451199e+00	0	3.199640e-02	1.957742e+00	2.011360e+00
TCGA-CN-6011-01A-11R-1686-07	0	0	1.661742e+00	8.242224e-01	5.012855e-01	4.740602e-01	0	0	0	1.104682e+00	4.396826e+00
TCGA-CN-6012-01A-11R-1686-07	0	6.217896e-01	1.640185e+00	4.948159e-01	1.120619e+00	4.209041e-02	1.221189e+00	1.793444e-01	2.386866e-01	1.846286e+00	2.038374e+00
TCGA-CN-6013-01A-11R-1686-07	4.623686e-01	0	2.411933e+00	7.666245e-01	6.674753e-01	6.214049e-01	1.069665e-01	2.097421e-01	7.727229e-03	1.258613e+00	2.907925e+00
TCGA-CN-6016-01A-11R-1686-07	8.748069e-01	0	1.294691e+00	3.118625e-01	1.724678e+00	0	0	0	0	1.970678e+00	3.400947e+00
TCGA-CN-6017-01A-11R-1686-07	1.038556e+00	1.872697e-01	2.378758e+00	2.310777e-01	1.329610e+00	0	0	8.887771e-03	0	1.914668e+00	2.652582e+00
TCGA-CN-6018-01A-11R-1686-07	5.378922e-01	0	2.045611e+00	2.072409e-01	1.203536e+00	3.270071e-01	0	0	0	1.337716e+00	3.719532e+00
TCGA-CN-6019-01A-11R-1686-07	4.742281e-01	6.699857e-01	1.269174e+00	4.916845e-01	2.015679e+00	0	8.152321e-01	5.389492e-01	0	2.637385e+00	2.127868e+00
TCGA-CN-6020-01A-11R-1686-07	1.720747e-01	0	1.664787e+00	9.119841e-01	9.854946e-01	2.819885e-01	2.517489e-01	5.717767e-01	0	1.585278e+00	3.273875e+00
TCGA-CN-6021-01A-11R-1686-07	0	3.520109e-01	1.129361e+00	7.741232e-01	9.730672e-01	0	1.229580e+00	4.327613e-01	1.711348e-01	1.888042e+00	2.226468e+00
TCGA-CN-6022-01A-21R-1686-07	6.632313e-01	8.887601e-02	1.327314e+00	2.159914e-01	1.429120e+00	1.065097e+00	0	0	4.165452e-02	1.831517e+00	3.441008e+00
TCGA-CN-6023-01A-11R-1686-07	0	2.385993e-01	1.873849e+00	0	1.304413e+00	0	1.681307e+00	0	1.229156e-01	1.805571e+00	1.257919e+00
TCGA-CN-6024-01A-11R-1686-07	6.315485e-01	0	5.944143e-01	4.386844e-01	1.332449e+00	0	1.437115e+00	0	3.123325e-02	2.129214e+00	3.102992e+00
TCGA-CN-6988-01A-11R-1915-07	1.358017e-01	2.790490e-01	9.320741e-01	8.942613e-01	0	0	1.210023e-01	7.017083e-01	8.676283e-02	1.779263e+00	2.277769e+00
TCGA-CN-6989-01A-11R-1915-07	5.829925e-01	0	1.386549e+00	1.351406e-02	1.849650e+00	0	1.190015e+00	0	0	1.948445e+00	2.733071e+00
TCGA-CN-6992-01A-11R-1915-07	0	3.557211e-01	9.882960e-01	2.531619e-01	1.353146e+00	9.082185e-02	1.545663e+00	1.643186e-01	4.890411e-02	2.091939e+00	2.076475e+00
TCGA-CN-6994-01A-11R-1915-07	0	8.958766e-02	1.243517e+00	7.581464e-01	1.303852e+00	8.266828e-01	4.178584e-01	0	4.380246e-02	1.477171e+00	3.380627e+00
TCGA-CN-6995-01A-31R-2016-07	4.981943e-01	0	2.131997e+00	6.614888e-01	4.134085e-01	0	0	0	1.316480e-01	1.473855e+00	3.487892e+00
TCGA-CN-6996-01A-11R-1915-07	7.661845e-01	0	2.360159e+00	9.235770e-01	8.837497e-01	0	1.508201e-01	0	0	9.394418e-01	3.808382e+00
TCGA-CN-6997-01A-11R-2016-07	0	4.928175e-01	1.010195e+00	0	1.228319e+00	4.018789e-02	1.287485e+00	0	0	1.815847e+00	2.328035e+00
TCGA-CN-6998-01A-23R-2016-07	4.851208e-01	0	1.671180e+00	1.317223e+00	8.092719e-02	0	7.602351e-02	0	0	1.034167e+00	4.467926e+00
TCGA-CN-A497-01A-11R-A24H-07	9.788167e-03	2.526828e-01	1.215373e+00	0	1.004741e+00	0	2.927318e-01	0	1.621872e-01	1.945922e+00	2.130067e+00
TCGA-CN-A498-01A-11R-A24H-07	1.493856e-02	7.089405e-01	1.484114e+00	9.486019e-01	5.659362e-01	0	5.013149e-01	3.307832e-01	4.014708e-01	1.385347e+00	3.316211e+00
TCGA-CN-A499-01A-11R-A24H-07	0	0	2.488119e+00	7.816851e-01	2.990652e-01	0	2.849980e-01	9.156223e-02	4.071414e-01	8.610364e-01	3.222964e+00
TCGA-CN-A49A-01A-11R-A24H-07	2.618721e-01	3.227718e-02	6.032891e-01	3.030094e-01	1.479084e+00	8.911326e-01	3.967277e-01	0	1.297655e-01	2.004079e+00	3.356123e+00
TCGA-CN-A49B-01A-31R-A24H-07	0	3.004186e-01	2.344670e+00	5.603522e-01	4.697592e-01	0	4.272595e-01	7.545417e-02	3.070586e-01	1.593824e+00	2.841319e+00
TCGA-CN-A49C-01A-11R-A24H-07	0	0	1.706890e+00	7.988513e-01	2.206396e-01	0	2.292130e-01	5.967365e-01	1.059159e+00	1.863512e+00	1.744526e+00
TCGA-CN-A63T-01A-11R-A28V-07	2.445835e-01	7.660310e-01	1.923359e+00	8.799069e-01	4.434763e-01	0	2.907427e-01	1.639073e-01	0	2.041627e+00	3.085869e+00
TCGA-CN-A63U-01A-11R-A30B-07	1.272616e-01	6.772674e-01	1.081539e+00	1.850340e-01	1.498387e-01	2.528860e-01	4.667626e-01	0	2.492819e-01	2.504553e+00	1.880670e+00
TCGA-CN-A63V-01A-11R-A466-07	1.875013e-01	0	9.895166e-01	6.062945e-01	1.314355e+00	8.181408e-01	0	2.536725e-01	0	2.522704e+00	3.267020e+00
TCGA-CN-A63W-01A-11R-A30B-07	1.254476e-01	5.227451e-01	1.444984e+00	9.185623e-01	1.301543e-01	1.133788e-01	0	1.036554e-01	2.046607e-02	1.736133e+00	3.739959e+00
TCGA-CN-A641-01A-11R-A30B-07	2.935628e-02	4.166361e-01	1.098816e+00	1.161005e+00	3.075825e-01	4.009670e-01	4.815087e-01	2.266414e-01	7.381717e-02	1.948117e+00	2.955271e+00
TCGA-CN-A642-01A-12R-A30B-07	5.481521e-01	0	2.108631e+00	1.752983e-01	4.118104e-01	0	2.492936e-02	0	0	2.124302e+00	3.138361e+00
TCGA-CN-A6UY-01A-12R-A34R-07	2.015039e-02	0	1.805063e+00	2.718990e-01	5.908612e-01	0	0	0	2.617367e+00	2.277451e+00	8.854070e-01
TCGA-CN-A6V1-01A-12R-A34R-07	9.164246e-02	1.627801e-04	2.587544e+00	6.249374e-01	5.515214e-01	0	1.218814e-01	5.891425e-01	1.262079e+00	2.728878e+00	6.038197e-01
TCGA-CN-A6V3-01A-12R-A34R-07	2.606532e-03	8.788452e-01	2.021899e+00	1.088565e+00	1.762807e-01	5.292364e-01	0	3.706877e-01	1.478484e-01	1.400900e+00	3.262658e+00
TCGA-CN-A6V6-01A-12R-A34R-07	5.931539e-01	2.823225e-01	2.143592e+00	7.599751e-01	4.603970e-01	0	0	7.451173e-01	1.010534e+00	1.987439e+00	1.179788e+00
TCGA-CN-A6V7-01A-12R-A34R-07	0	1.270300e-01	1.580960e+00	2.872347e-01	3.412423e-02	0	7.270910e-01	1.624843e-01	1.130512e+00	1.803094e+00	1.041126e+00
TCGA-CQ-5323-01A-01R-1686-07	0	0	1.841615e+00	1.045530e+00	8.029562e-01	0	5.363493e-01	2.339930e-01	4.951518e-01	1.256507e+00	2.688122e+00
TCGA-CQ-5324-01A-01R-1686-07	0	1.345466e-01	1.747415e+00	7.929006e-01	8.849823e-01	0	1.086340e+00	4.361153e-01	0	1.845583e+00	3.048098e+00
TCGA-CQ-5325-01A-01R-1686-07	7.958360e-01	0	2.506821e+00	7.838217e-01	1.013869e+00	0	0	0	0	1.475191e+00	3.501025e+00
TCGA-CQ-5326-01A-01R-1873-07	0	0	1.593485e+00	7.880221e-01	7.130767e-01	3.607990e-01	0	5.051872e-02	0	9.530164e-01	4.550510e+00
TCGA-CQ-5327-01A-01R-1686-07	4.625154e-01	0	2.476748e+00	1.253959e+00	3.366387e-01	0	4.498820e-02	2.033208e-01	0	1.626562e+00	3.355254e+00
TCGA-CQ-5329-01A-01R-1686-07	4.062138e-01	0	1.948734e+00	5.774078e-01	9.430448e-01	0	1.461974e-01	0	0	1.623495e+00	4.000854e+00
