sampleID	D8.4_MIPS-UTX-MLL2-3-COMPLEX	D7.6_WEST-ADRENOCORTICAL-TUMOR-MARKERS-DN	D11.9_RUNNE-GENDER-EFFECT-UP	D9.3_MATHEW-FANCONI-ANEMIA-GENES	D11.8_REACTOME-BETA-DEFENSINS	D7.4_GAUTSCHI-SRC-SIGNALING	D11.11_NEUROPEPTIDE-HORMONE-ACTIVITY	D9.4_REACTOME-BETA-DEFENSINS	D9.1_MODULE-42
TCGA-QR-A70X-01A-11R-A35K-07	1.221091e+00	1.553024e+00	8.412846e-01	6.694032e-01	5.596505e-01	1.023283e+00	1.277133e+00	6.661703e-01	3.533770e+00
TCGA-QR-A7IN-01A-11R-A35K-07	1.716826e+00	1.843691e-01	4.437993e-01	1.466018e+00	0	2.634276e+00	0	2.894692e+00	7.313807e-01
TCGA-QR-A7IP-01A-11R-A35K-07	1.840378e+00	1.346602e-01	3.472754e-01	3.764377e+00	3.196486e-01	1.772367e+00	0	9.331236e-01	6.122576e-01
TCGA-QT-A5XJ-01A-11R-A35K-07	1.871262e+00	5.455648e-01	3.667634e-01	3.457711e+00	8.048557e-01	1.377131e+00	0	5.477705e-01	6.666214e-01
TCGA-QT-A5XK-01A-11R-A35K-07	2.269032e+00	2.451628e-01	8.345570e-01	2.121278e-01	5.561705e-01	1.083319e+00	1.614639e-01	3.328650e-01	4.441208e+00
TCGA-QT-A5XL-01A-11R-A35K-07	2.414972e+00	1.484344e-02	1.017693e+00	7.907378e-01	1.162059e-01	4.473506e+00	0	2.208284e+00	0
TCGA-QT-A5XM-01A-11R-A35K-07	2.377652e+00	4.694518e-01	1.088650e+00	1.163307e-01	6.666821e-01	1.292685e+00	4.658251e-01	1.279222e+00	2.941886e+00
TCGA-QT-A5XN-01A-11R-A35K-07	2.194780e+00	2.747008e-01	1.283213e+00	1.615706e+00	0	1.200136e+00	2.750318e-01	6.788619e-01	4.202552e+00
TCGA-QT-A5XO-01A-11R-A35K-07	2.085712e+00	1.357527e+00	4.061783e-01	4.331919e-01	2.220347e-01	8.618949e-01	1.139479e-01	1.433919e+00	3.251652e+00
TCGA-QT-A5XP-01A-11R-A35K-07	2.242919e+00	3.826538e-01	9.224414e-01	3.283002e-01	8.235434e-01	1.484184e+00	7.018675e-01	1.359000e+00	2.757093e+00
TCGA-QT-A69Q-01A-11R-A35K-07	2.056023e+00	5.293868e-01	7.825031e-01	1.423291e+00	7.988368e-03	1.801294e+00	0	3.442987e+00	8.389878e-01
TCGA-QT-A7U0-01A-11R-A35K-07	2.541401e+00	0	5.408628e-01	1.307551e+00	0	2.546363e+00	0	2.395795e+00	1.016526e+00
TCGA-RM-A68T-01A-11R-A35K-07	1.756347e+00	4.019885e-01	1.391363e+00	3.973273e+00	3.809956e-01	3.347232e+00	0	0	0
TCGA-RM-A68W-01A-11R-A35K-07	8.218406e-01	3.546661e-01	8.382333e-01	4.276735e+00	2.631599e-01	2.673331e+00	0	8.693548e-01	0
TCGA-RT-A6Y9-01A-12R-A35K-07	1.553904e+00	5.300254e-01	8.098906e-01	2.855503e+00	6.524435e-01	1.349455e+00	2.745291e-01	2.230855e+00	8.696296e-01
TCGA-RT-A6YA-01A-12R-A35K-07	1.354539e+00	3.148116e-01	1.333402e+00	0	8.528366e-01	1.913582e+00	2.299989e-01	1.675843e+00	3.360103e+00
TCGA-RT-A6YC-01A-12R-A35K-07	2.576453e+00	2.840772e-01	1.908252e+00	5.181908e-01	5.710059e-01	2.052768e+00	5.199427e-01	7.885607e-01	3.315824e+00
