sampleID	D7.3_REACTOME-GLUCURONIDATION	D13.10_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D13.8_REACTOME-BETA-DEFENSINS	D11.10_RUNNE-GENDER-EFFECT-UP	D12.7_chr11q11	D9.1_MIPS-CF-IIAM-COMPLEX
TCGA-AD-6901-01A-11R-1928-07	0	2.472811e-01	2.043731e-01	1.125402e-01	0	3.753122e+00
TCGA-AD-6963-01A-11R-1928-07	6.758395e-01	0	3.512829e-01	5.735031e-02	0	4.326698e+00
TCGA-AD-6964-01A-11R-1928-07	1.684685e-01	1.161337e-01	0	1.282098e-01	5.454479e-01	1.313020e+00
TCGA-AD-6965-01A-11R-1928-07	3.571828e-01	6.093166e-02	1.030296e-01	7.167805e-02	4.826738e-03	4.340087e+00
TCGA-AD-A5EJ-01A-11R-A28H-07	9.364598e-02	1.872487e-02	9.110851e-01	0	1.040342e+00	9.190807e-01
TCGA-AD-A5EK-01A-11R-A28H-07	0	1.601524e-01	0	6.500062e-02	3.304738e-01	4.792371e+00
TCGA-AM-5820-01A-01R-1653-07	7.863017e-01	3.985578e-01	3.029195e-01	0	0	3.968855e+00
TCGA-AM-5821-01A-01R-1653-07	0	2.634199e-03	1.321181e+00	0	0	1.044576e+00
TCGA-AU-3779-01A-01R-1723-07	9.421898e-01	9.252849e-02	9.713468e-02	2.009886e-03	0	4.551869e+00
TCGA-AU-6004-01A-11R-1723-07	7.677428e-01	1.029908e-01	7.479996e-01	0	0	1.374950e+00
TCGA-AY-5543-01A-01R-1653-07	1.142220e+00	0	6.282381e-01	0	1.772699e-01	3.848910e+00
TCGA-AY-6196-01A-11R-1723-07	1.799515e-02	2.953377e-01	1.827419e-01	1.212102e-01	3.038974e-01	8.089620e-01
TCGA-AY-6197-01A-11R-1723-07	1.292775e+00	0	4.141117e-01	7.246651e-02	5.060924e-01	1.716453e+00
TCGA-AY-6386-01A-21R-1723-07	1.094118e+00	0	6.764691e-01	0	4.599146e-01	2.459508e+00
TCGA-AY-A54L-01A-11R-A28H-07	8.602663e-01	8.634638e-02	4.978549e-01	0	8.730750e-01	4.279635e+00
TCGA-AY-A69D-01A-11R-A37K-07	8.766692e-01	0	0	0	5.983899e-01	4.019273e+00
TCGA-AY-A71X-01A-12R-A37K-07	6.254814e-01	2.505573e-05	5.207802e-01	6.608829e-03	1.488316e+00	2.616174e+00
TCGA-AY-A8YK-01A-11R-A41B-07	1.579084e+00	3.411569e-02	1.324864e-01	8.600809e-02	3.802742e-01	4.256023e+00
TCGA-AZ-4313-01A-01R-1410-07	0	8.611120e-02	7.951073e-01	2.908227e-02	1.297037e+00	1.269519e+00
TCGA-AZ-4315-01A-01R-1410-07	8.119356e-01	3.802751e-02	6.145642e-01	1.113373e-01	0	2.453211e+00
TCGA-AZ-4323-01A-21R-1839-07	6.564130e-01	3.306819e-01	1.412110e-01	1.058312e-01	8.964843e-02	2.222732e+00
TCGA-AZ-4614-01A-01R-1410-07	5.275132e-01	9.050069e-02	1.186422e+00	6.356959e-03	0	2.384048e+00
TCGA-AZ-4615-01A-01R-1410-07	8.491770e-02	4.585191e-02	7.052363e-01	7.922756e-02	3.155784e-01	5.700514e-01
TCGA-AZ-4616-01A-21R-1839-07	2.108672e-01	1.522672e-01	9.041818e-01	1.695706e-02	0	2.847909e+00
TCGA-AZ-4682-01B-01R-A32Z-07	1.443646e+00	1.857452e-01	1.908751e-01	1.304152e-01	4.771015e-01	3.970600e+00
TCGA-AZ-4684-01A-01R-1410-07	1.308562e+00	8.820550e-02	4.879816e-01	1.018031e-01	0	3.037933e+00
TCGA-AZ-5403-01A-01R-1653-07	1.204964e+00	2.602654e-01	1.389085e-02	1.048639e-01	2.004083e-01	3.768242e+00
TCGA-AZ-5407-01A-01R-1723-07	9.778368e-01	9.720885e-02	4.979433e-01	1.161900e-02	1.155130e+00	2.196336e+00
TCGA-AZ-6598-11A-01R-1774-07	3.307939e+00	5.868749e-01	0	0	0	1.425238e+00
TCGA-AZ-6598-01A-11R-1774-07	0	2.550132e-02	0	1.044912e-02	1.258389e+00	1.316052e+00
TCGA-AZ-6599-11A-01R-1774-07	3.218161e+00	3.869971e-01	0	7.845396e-02	4.320027e-02	1.231574e+00
TCGA-AZ-6599-01A-11R-1774-07	2.100650e-01	5.455856e-02	0	1.055313e-01	2.097246e+00	2.277067e+00
TCGA-AZ-6600-11A-01R-1774-07	3.279302e+00	3.612635e-01	0	8.920593e-02	0	1.285823e+00
TCGA-AZ-6600-01A-11R-1774-07	9.174620e-01	1.389571e-01	2.433226e-01	1.055038e-01	5.685417e-01	2.232042e+00
TCGA-AZ-6601-11A-01R-1774-07	3.225027e+00	5.601387e-01	0	7.287059e-02	0	1.317496e+00
TCGA-AZ-6601-01A-11R-1774-07	6.267447e-01	1.399422e-01	7.093697e-01	1.002159e-01	0	1.295937e+00
TCGA-AZ-6603-11A-02R-1839-07	2.268186e+00	6.466121e-01	0	0	4.280615e-01	7.314045e-01
TCGA-AZ-6603-01A-11R-1839-07	9.141881e-01	2.005040e-01	0	0	2.034025e-02	4.718513e+00
TCGA-AZ-6605-11A-01R-1839-07	1.732118e+00	1.004317e+00	0	7.232257e-02	0	1.912056e+00
TCGA-AZ-6605-01A-11R-1839-07	1.186780e+00	1.214306e-01	2.999879e-02	9.346491e-02	1.902890e-01	3.063654e+00
TCGA-AZ-6606-01A-11R-1839-07	8.065732e-01	9.837937e-03	9.961574e-01	7.958883e-02	5.191014e-01	2.931399e+00
TCGA-AZ-6607-01A-11R-1839-07	3.677335e-01	1.826001e-01	1.185135e+00	7.051358e-02	0	9.664477e-01
TCGA-AZ-6608-01A-11R-1839-07	4.398362e-01	0	6.099037e-01	0	0	5.380848e+00
TCGA-CA-5254-01A-21R-1839-07	4.469870e-01	8.640678e-02	8.981136e-01	0	2.406158e-02	2.098517e+00
TCGA-CA-5255-01A-11R-1839-07	1.100138e+00	1.098155e-01	1.278254e+00	9.063865e-02	4.231210e-01	2.022975e+00
TCGA-CA-5256-01A-01R-1410-07	1.042452e+00	1.556198e-01	0	2.999018e-02	0	4.938993e+00
TCGA-CA-5796-01A-01R-1653-07	1.864477e+00	0	4.552550e-01	0	1.361311e+00	7.177599e-01
TCGA-CA-5797-01A-01R-1653-07	9.662895e-01	2.311220e-01	0	8.827734e-02	0	4.397690e+00
TCGA-CA-6715-01A-21R-1839-07	3.233896e-01	7.656968e-02	0	8.274768e-02	0	5.838182e+00
TCGA-CA-6716-01A-11R-1839-07	0	2.708691e-01	0	8.375564e-02	1.521240e-01	5.462851e+00
TCGA-CA-6717-01A-11R-1839-07	6.426762e-01	3.200037e-01	1.511485e-01	9.197567e-02	4.083432e-01	1.951475e+00
TCGA-CA-6718-01A-11R-1839-07	0	1.378629e-01	8.105757e-01	7.945445e-02	0	1.431765e+00
TCGA-CA-6719-01A-11R-1839-07	1.823624e-01	2.570697e-01	1.013517e-01	7.993741e-02	0	4.225796e+00
TCGA-CK-4947-01B-11R-1653-07	1.283824e+00	5.054326e-02	0	0	4.037419e-01	2.963922e+00
TCGA-CK-4948-01B-11R-1653-07	5.790754e-01	7.688458e-02	4.702494e-01	1.386337e-02	0	3.811159e+00
TCGA-CK-4950-01A-01R-1723-07	2.305358e+00	5.401078e-02	1.353756e-01	1.188441e-02	5.474204e-01	1.851883e+00
TCGA-CK-4951-01A-01R-1410-07	5.765010e-01	2.547261e-02	6.807900e-01	0	1.033360e-01	1.672402e+00
TCGA-CK-4952-01A-01R-1723-07	0	0	1.607063e-01	0	1.781218e+00	1.230258e+00
TCGA-CK-5912-01A-11R-1653-07	4.324082e-01	1.104645e-01	0	4.923022e-02	0	5.391617e+00
TCGA-CK-5913-01A-11R-1653-07	6.171927e-01	0	1.137215e+00	0	3.291391e-01	8.503826e-01
TCGA-CK-5914-01A-11R-1653-07	1.128701e-01	0	0	3.991833e-02	1.418155e-01	4.720611e+00
TCGA-CK-5915-01A-11R-1653-07	3.883493e-01	0	0	3.074080e-02	0	5.684508e+00
