sampleID	D6.6_GNF2-SPRR1B	D8.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D8.2_MODULE-103	D7.2_RUNNE-GENDER-EFFECT-UP	D6.2_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON
TCGA-D3-A3MV-06A-11R-A21D-07	3.824391e-02	2.616039e-01	1.223675e+00	2.304712e+00	4.522193e+00
TCGA-D3-A51E-06A-11R-A266-07	7.174138e-02	1.677434e+00	1.927119e+00	2.766973e+00	3.635989e-01
TCGA-D3-A51F-06A-11R-A266-07	7.502890e-02	2.682961e+00	1.166874e+00	1.689484e+00	2.840233e+00
TCGA-D3-A51G-06A-11R-A266-07	2.244485e-02	4.929382e-01	7.786014e-01	2.989807e+00	5.527105e+00
TCGA-D3-A51H-06A-12R-A266-07	4.880638e-03	2.629717e+00	1.865012e+00	2.865178e+00	8.841866e-01
TCGA-D3-A51J-06A-11R-A266-07	0	2.127038e+00	1.187019e+00	1.773628e+00	2.080136e+00
TCGA-D3-A51K-06A-11R-A266-07	0	1.535048e+00	2.936315e+00	0	9.198202e-01
TCGA-D3-A51N-06A-11R-A266-07	6.006833e-03	1.427827e+00	1.798127e+00	2.373966e+00	3.307251e+00
TCGA-D3-A51R-06A-11R-A266-07	0	0	2.513719e-01	2.295571e+00	5.326033e+00
TCGA-D3-A51T-06A-11R-A266-07	7.092717e-02	1.488182e+00	1.388879e+00	2.681420e+00	6.386959e-01
TCGA-D3-A5GL-06A-11R-A27Q-07	4.132476e-02	2.488647e-01	3.807102e+00	3.897546e+00	4.359583e-01
TCGA-D3-A5GN-06A-11R-A27Q-07	4.777405e-02	1.170347e+00	6.026875e-01	1.980266e+00	4.653772e+00
TCGA-D3-A5GO-06A-12R-A27Q-07	2.797897e-02	1.380426e+00	2.481089e+00	3.314184e+00	1.400672e+00
TCGA-D3-A5GR-06A-11R-A27Q-07	5.760388e-02	1.777470e+00	6.289244e-01	2.175481e+00	3.969433e+00
TCGA-D3-A5GS-06A-11R-A27Q-07	5.302654e-02	1.588824e+00	1.480193e+00	1.485676e+00	2.384562e+00
TCGA-D3-A5GT-01A-12R-A311-07	9.988854e-02	3.575704e-01	2.834318e+00	2.249164e+00	2.478315e-01
TCGA-D3-A5GU-06A-11R-A27Q-07	0	1.718260e+00	6.107644e-01	1.726424e+00	1.355264e+00
TCGA-D3-A8GB-06A-11R-A37K-07	1.911010e-01	2.134762e+00	2.795931e+00	2.008799e+00	1.796452e+00
TCGA-D3-A8GC-06A-11R-A37K-07	0	8.973774e-01	2.082999e+00	4.091881e+00	9.918063e-01
TCGA-D3-A8GD-06A-11R-A37K-07	0	2.362355e+00	1.595297e+00	2.170153e+00	9.922298e-01
TCGA-D3-A8GE-06A-11R-A37K-07	0	1.495600e+00	6.814168e-01	2.556496e+00	4.990710e+00
TCGA-D3-A8GI-06A-11R-A37K-07	8.237920e-03	6.154044e-01	5.108342e+00	1.926864e+00	1.464699e+00
TCGA-D3-A8GJ-06A-11R-A37K-07	0	2.301282e+00	1.207316e+00	1.260968e+00	1.319556e+00
TCGA-D3-A8GK-06A-11R-A37K-07	1.323206e-02	1.659970e-02	3.317126e+00	2.852341e+00	7.279655e-01
TCGA-D3-A8GL-06A-11R-A37K-07	0	1.591443e-01	2.139922e+00	3.347622e+00	5.551548e-01
TCGA-D3-A8GM-06A-11R-A37K-07	5.235635e-03	1.543758e+00	2.732422e+00	3.639486e+00	0
TCGA-D3-A8GN-06A-11R-A37K-07	1.254088e-02	2.024269e+00	1.343531e+00	1.484449e+00	1.896573e+00
TCGA-D3-A8GO-06A-11R-A37K-07	5.377907e-02	1.659130e+00	1.269620e+00	7.926336e-01	3.873983e+00
TCGA-D3-A8GP-06A-11R-A37K-07	0	4.351514e-01	1.558601e+00	2.442979e+00	1.331268e+00
TCGA-D3-A8GQ-06A-11R-A37K-07	0	4.289369e-01	1.377641e+00	2.681513e+00	4.318802e+00
