sampleID	D18.13_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D18.18_GNF2-TTN	D13.2_MIPS-UTX-MLL2-3-COMPLEX	D18.1_GNF2-MKI67	D8.8_NIELSEN-SYNOVIAL-SARCOMA-UP	D12.4_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D15.12_NIKOLSKY-BREAST-CANCER-12Q13-Q21-AMPLICON	D15.7_MODULE-211	D18.10_REACTOME-BETA-DEFENSINS	D12.8_REACTOME-BETA-DEFENSINS
TCGA-DX-A6BH-01A-12R-A30C-07	0	0	1.665185e+00	1.685136e+00	3.128956e-01	7.962819e-01	1.237801e+00	1.903358e+00	6.480612e-02	1.091057e-01
TCGA-DX-A6YQ-01A-12R-A33J-07	2.842623e-01	1.847773e-01	1.989877e+00	2.592102e+00	0	0	0	0	1.070867e+00	0
TCGA-DX-A6YR-01A-33R-A355-07	0	0	1.810833e+00	2.245657e+00	1.219454e-01	3.315593e-01	1.890001e-01	3.791242e-01	1.461845e+00	8.818306e-03
TCGA-DX-A6YS-01A-12R-A355-07	0	0	2.297889e+00	2.123377e+00	4.132908e-01	3.941541e-01	1.691012e-01	1.609609e-01	1.168838e+00	8.846888e-02
TCGA-DX-A6YT-01A-21R-A355-07	0	0	1.878864e+00	2.586790e+00	1.264364e-01	4.293414e-01	0	2.295655e-01	1.435028e+00	4.172546e-03
TCGA-DX-A6YU-01A-12R-A33J-07	2.642794e-01	0	1.916833e+00	2.463940e+00	5.551048e-02	3.586728e-01	2.215241e-01	1.178857e-01	1.019637e+00	7.730669e-02
TCGA-DX-A6YV-01A-12R-A355-07	0	0	1.925180e+00	2.837464e+00	0	2.628838e-02	0	7.233604e-01	1.331076e+00	2.016022e-01
TCGA-DX-A6YX-01A-11R-A41I-07	0	0	2.181690e+00	2.618649e+00	0	0	0	4.633356e-01	3.144524e-01	0
TCGA-DX-A6YZ-01A-12R-A355-07	0	0	1.793883e+00	1.995996e+00	1.310000e-01	8.354954e-01	0	0	9.607028e-01	0
TCGA-DX-A6Z0-01A-13R-A36F-07	1.569046e-01	0	1.576100e+00	2.438182e+00	3.748783e-01	6.407149e-02	4.423307e-01	1.831793e-01	1.456570e+00	2.117149e-01
TCGA-DX-A6Z2-01A-12R-A36F-07	4.276663e-01	0	1.758483e+00	2.112439e+00	0	2.813765e+00	0	2.496456e-01	0	4.012924e-01
TCGA-DX-A7EF-01A-11R-A33J-07	0	4.130098e-01	2.091910e+00	2.485682e+00	0	0	0	1.382674e+00	2.942904e-01	0
TCGA-DX-A7EI-01A-11R-A33J-07	9.456075e-02	0	1.866453e+00	2.269961e+00	1.542365e+00	4.300244e-01	6.179204e-01	1.182889e+00	7.850195e-02	1.440492e-01
TCGA-DX-A7EL-01A-12R-A36F-07	5.106143e-01	0	1.585436e+00	2.074984e+00	2.986704e-02	3.083932e+00	0	1.580668e-02	0	3.680300e-01
TCGA-DX-A7EM-01A-11R-A36F-07	1.356772e-01	0	1.933010e+00	2.253225e+00	0	3.045533e+00	0	0	0	2.434625e-01
TCGA-DX-A7EN-01A-11R-A39D-07	0	0	1.389764e+00	2.960020e+00	0	3.136415e+00	0	0	0	8.925734e-01
TCGA-DX-A7EO-01A-11R-A36F-07	0	0	1.011491e+00	2.444110e+00	3.229230e+00	5.248215e-02	0	0	8.742756e-02	4.903315e-01
TCGA-DX-A7EQ-01A-11R-A466-07	0	7.933234e-02	0	2.331612e+00	3.405928e+00	4.987962e-01	0	0	0	0
TCGA-DX-A7ER-01A-11R-A36F-07	0	0	8.352772e-01	2.365102e+00	3.306471e+00	4.185724e-01	0	0	0	2.277365e-01
TCGA-DX-A7ES-01A-31R-A39D-07	5.866492e-01	0	1.356478e+00	1.819072e+00	6.122941e-01	1.200340e+00	9.199876e-01	6.698919e-01	3.681000e-02	3.110871e-01
TCGA-DX-A7ET-01A-11R-A36F-07	5.728518e-01	0	1.153673e-01	2.940459e+00	0	0	0	8.385494e-01	9.091513e-01	4.540905e-01
TCGA-DX-A7EU-01A-22R-A36F-07	0	0	9.870038e-01	2.303457e+00	5.296851e-01	2.806905e-01	8.072695e-01	0	1.453713e+00	4.914184e-01
TCGA-DX-A8BG-01A-12R-A41I-07	8.303616e-01	0	1.706735e+00	2.552562e+00	0	1.008250e-01	0	0	1.463057e+00	1.843196e-01
TCGA-DX-A8BH-01A-11R-A37L-07	4.305720e-01	0	1.197961e+00	2.689407e+00	0	8.293582e-02	0	1.252063e-01	8.282171e-01	0
TCGA-DX-A8BJ-01A-11R-A41I-07	0	0	1.381302e+00	2.530269e+00	5.334378e-01	2.054810e-01	2.305659e-01	2.631931e+00	0	1.003209e-01
TCGA-DX-A8BK-01A-11R-A37L-07	3.354157e-01	0	3.282442e-01	2.932347e+00	0	4.452197e-01	0	9.602930e-01	8.826108e-01	2.706281e-01
TCGA-DX-A8BL-01A-11R-A41I-07	6.549306e-01	0	1.048288e+00	2.713651e+00	1.864507e-01	4.603070e-01	0	0	1.396762e+00	0
TCGA-DX-A8BM-01A-11R-A41I-07	0	0	1.559670e+00	2.561905e+00	3.451181e-01	2.354818e-01	5.314612e-01	0	8.903599e-01	4.038413e-01
TCGA-DX-A8BN-01A-11R-A37L-07	0	0	8.719776e-01	2.948241e+00	0	0	3.371599e-01	0	1.873859e+00	5.384810e-01
TCGA-DX-A8BO-01A-11R-A41I-07	4.406602e-01	0	6.775087e-01	2.254679e+00	0	1.964961e-01	0	7.927644e-01	1.120732e+00	3.974043e-01
TCGA-DX-A8BP-01A-11R-A37L-07	4.928748e-01	4.783611e-01	1.522046e+00	2.474019e+00	0	3.986084e-02	0	1.081909e+00	2.396692e-01	0
TCGA-DX-A8BQ-01A-11R-A37L-07	7.747694e-01	0	9.811674e-01	2.564320e+00	0	1.504887e-01	0	0	9.797362e-01	0
TCGA-DX-A8BR-01A-11R-A41I-07	1.496179e-01	0	1.572041e+00	2.352252e+00	0	2.897751e-01	0	0	1.443299e+00	1.593108e-01
TCGA-DX-A8BS-01A-11R-A37L-07	0	0	1.700511e+00	2.673315e+00	0	5.135319e-02	0	1.795961e+00	1.644580e-01	2.744501e-01
TCGA-DX-A8BT-01A-11R-A37L-07	0	0	1.649896e+00	2.262201e+00	0	1.114767e-01	1.920387e-01	2.467539e-01	1.511379e+00	2.255360e-01
TCGA-DX-A8BU-01A-11R-A37L-07	0	6.792940e-01	2.128652e+00	2.765651e+00	2.177834e-01	4.772262e-01	3.606068e-02	1.024150e+00	0	6.120128e-02
TCGA-DX-A8BV-01A-11R-A37L-07	0	6.418705e-02	2.081932e+00	2.329824e+00	2.746755e-01	5.722180e-01	9.233018e-02	5.999536e-01	7.901975e-01	0
TCGA-DX-A8BX-01A-11R-A37L-07	0	0	1.284227e+00	2.219315e+00	1.223864e-01	0	5.080465e-01	0	1.725115e+00	4.247254e-01
TCGA-DX-A8BZ-01A-11R-A37L-07	0	0	5.877166e-02	2.795098e+00	0	2.909190e-01	0	2.064696e+00	2.339383e-01	1.068944e-01
TCGA-DX-AATS-01A-12R-A41I-07	0	1.396366e-02	1.651794e+00	2.515060e+00	9.486337e-01	8.136950e-02	2.861129e-01	2.003431e+00	0	0
TCGA-DX-AB2E-01A-11R-A39D-07	0	0	1.901877e+00	2.608475e+00	0	0	0	1.062507e+00	0	0
TCGA-DX-AB2F-01A-11R-A38C-07	0	0	1.463795e+00	2.238980e+00	6.086140e-01	1.437994e-01	1.814150e+00	0	1.250789e+00	3.468795e-01
TCGA-DX-AB2G-01A-11R-A39D-07	1.019029e-01	0	8.974626e-01	2.303966e+00	1.659161e-01	3.719960e-01	1.150091e+00	0	1.286148e+00	1.263677e-01
