sampleID	D7.5_VALK-AML-CLUSTER-5	D8.3_ROSS-AML-WITH-PML-RARA-FUSION	D8.1_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON	D8.4_VALK-AML-CLUSTER-10	D9.7_SCHAEFFER-PROSTATE-DEVELOPMENT-AND-CANCER-BOX6-UP	D8.2_TCGA-GLIOBLASTOMA-MUTATED	D9.9_RUNNE-GENDER-EFFECT-UP
TCGA-AB-2908-03A-01T-0740-13	1.221968e+00	1.433527e+00	5.206331e-01	3.042712e+00	1.412880e+00	6.355934e-01	5.770674e-01
TCGA-AB-2909-03A-01T-0744-13	8.823018e-01	1.736930e+00	0	2.257437e+00	0	4.136950e+00	5.038703e-01
TCGA-AB-2910-03A-01T-0740-13	1.885942e+00	1.669032e+00	1.947239e+00	1.985649e-01	9.210381e-01	2.655563e-01	6.404790e-02
TCGA-AB-2911-03A-01T-0734-13	2.240197e+00	8.246316e-01	2.937047e+00	1.133690e+00	5.550818e-01	1.381311e+00	0
TCGA-AB-2912-03A-01T-0734-13	1.989719e+00	0	1.177244e+00	8.849285e-01	6.107241e-01	3.594352e+00	6.026764e-01
TCGA-AB-2913-03A-01T-0734-13	2.681447e-01	6.760653e-01	4.445229e+00	6.521680e-01	1.676284e-01	2.306283e+00	5.838314e-01
TCGA-AB-2914-03A-01T-0734-13	1.712092e+00	1.366638e+00	3.998193e-01	1.590515e+00	0	4.607836e+00	2.803261e-03
TCGA-AB-2915-03A-01T-0740-13	2.018295e+00	5.469792e-01	1.208288e+00	2.564256e+00	7.770344e-01	2.117907e+00	1.259751e-02
TCGA-AB-2916-03A-01T-0734-13	2.785305e+00	0	1.243470e+00	1.402084e+00	7.059178e-01	3.317611e+00	0
TCGA-AB-2917-03A-01T-0734-13	1.393277e+00	0	1.808357e+00	1.847289e+00	1.567127e+00	3.077687e+00	0
TCGA-AB-2918-03A-01T-0740-13	1.480563e+00	6.708010e-01	2.991686e+00	1.205805e+00	0	2.289172e+00	4.065960e-02
TCGA-AB-2919-03A-01T-0740-13	6.182551e-02	1.983384e+00	4.187443e+00	7.686169e-01	6.472762e-01	1.051130e+00	0
TCGA-AB-2920-03B-01T-0760-13	9.211025e-01	2.134423e+00	1.084611e+00	3.571093e+00	0	0	5.733423e-01
TCGA-AB-2921-03A-01T-0740-13	1.794888e+00	5.583217e-01	3.311888e+00	1.201643e+00	0	1.735387e+00	0
TCGA-AB-2924-03A-01T-0740-13	2.095987e+00	1.113697e-01	4.075528e+00	1.321285e-01	1.669695e-01	1.384400e+00	5.571717e-01
TCGA-AB-2925-03A-01T-0735-13	2.185241e+00	7.358273e-01	3.476143e+00	1.057475e-01	2.191458e-01	1.465127e-01	5.650969e-01
TCGA-AB-2927-03A-01T-0740-13	1.994487e+00	5.294515e-01	0	3.392080e+00	1.163129e+00	1.609110e+00	0
TCGA-AB-2928-03A-01T-0740-13	4.055560e-01	1.533661e+00	2.164809e+00	3.031692e+00	0	2.071796e+00	0
TCGA-AB-2929-03A-01T-0735-13	1.542432e+00	0	9.984095e-01	3.661181e+00	8.817268e-01	2.322059e+00	0
TCGA-AB-2930-03A-01T-0740-13	1.387628e+00	5.549648e-01	2.019615e+00	1.123285e+00	0	2.732929e+00	2.623316e-02
TCGA-AB-2931-03A-01T-0740-13	8.045130e-01	9.654934e-01	4.845937e+00	1.466115e+00	0	1.241187e+00	5.084407e-01
TCGA-AB-2932-03A-01T-0740-13	2.611839e+00	5.162753e-01	3.642828e+00	2.460285e-01	0	3.698636e-01	5.439473e-01
TCGA-AB-2933-03A-01T-0734-13	2.249297e+00	0	8.024256e-01	2.306301e+00	8.856480e-01	2.464671e+00	4.930742e-01
TCGA-AB-2934-03A-01T-0740-13	2.336533e+00	5.179921e-01	1.781700e+00	2.392653e+00	6.544775e-02	1.358552e+00	4.530544e-01
TCGA-AB-2935-03A-01T-0740-13	1.870863e+00	1.453948e+00	9.713554e-01	2.490640e+00	1.379403e+00	9.016732e-01	5.643138e-01
TCGA-AB-2936-03A-01T-0740-13	1.255165e+00	0	5.272453e-01	3.261362e+00	1.105260e+00	2.784382e+00	0
TCGA-AB-2937-03A-01T-0734-13	9.855628e-01	2.248131e+00	0	1.751307e+00	0	3.321284e+00	0
TCGA-AB-2938-03A-01T-0736-13	1.277306e+00	3.262325e-01	1.211749e+00	1.902291e+00	2.548861e+00	1.442967e+00	5.603128e-01
TCGA-AB-2939-03A-01T-0740-13	1.031983e+00	2.003677e+00	4.247991e-01	1.275405e+00	6.855904e-01	2.316472e+00	5.906883e-01
TCGA-AB-2940-03A-01T-0736-13	1.519140e+00	7.223707e-01	4.806741e-01	4.548606e-01	9.292703e-01	3.546199e+00	5.457467e-01
TCGA-AB-2941-03A-01T-0740-13	1.252676e+00	7.236622e-01	2.208462e+00	1.727608e+00	1.622882e+00	1.523133e+00	6.314087e-01
TCGA-AB-2942-03A-01T-0734-13	1.988466e+00	1.978680e+00	4.412988e-02	1.897159e+00	0	3.594474e+00	0
TCGA-AB-2943-03A-01T-0740-13	1.268561e+00	3.576672e-01	1.409773e+00	2.930925e+00	1.599271e+00	1.617945e+00	0
TCGA-AB-2944-03A-01T-0740-13	1.254816e+00	6.523141e-01	1.134599e+00	3.515842e+00	0	2.443009e+00	5.757014e-01
TCGA-AB-2946-03A-01T-0740-13	1.700515e+00	5.333681e-01	4.697463e-01	9.610012e-02	4.502636e-01	4.161021e+00	5.459249e-01
TCGA-AB-2948-03A-01T-0740-13	2.348031e+00	8.216219e-01	2.052253e+00	1.112465e+00	1.225296e+00	5.977422e-01	5.260680e-01
TCGA-AB-2949-03B-01T-0748-13	1.387769e+00	9.444513e-01	7.657957e-01	3.053314e+00	6.047296e-01	2.217834e+00	5.628910e-01
TCGA-AB-2950-03A-01T-0735-13	8.688529e-01	1.852660e+00	0	8.563654e-01	7.428682e-01	4.135414e+00	4.047386e-03
TCGA-AB-2952-03B-01T-0760-13	2.007638e+00	1.593937e+00	3.219317e-01	3.581536e+00	1.160082e+00	0	1.665923e-02
TCGA-AB-2954-03A-01T-0736-13	2.248554e+00	2.332575e+00	9.594751e-02	1.970061e+00	0	2.983744e+00	0
TCGA-AB-2955-03A-01T-0734-13	7.074234e-01	0	8.495860e-01	0	0	6.112837e+00	0
TCGA-AB-2956-03A-01T-0740-13	2.363932e+00	3.039350e-01	2.840519e+00	2.777336e-01	2.808467e-01	7.914472e-01	5.661818e-01
TCGA-AB-2959-03A-01T-0734-13	1.111399e+00	0	0	2.698859e+00	4.415018e-01	4.402721e+00	5.395411e-01
TCGA-AB-2963-03A-01T-0734-13	1.664252e+00	0	4.430188e+00	0	5.173446e-01	1.966745e+00	6.104213e-01
TCGA-AB-2964-03A-01T-0734-13	3.713740e-01	9.728510e-01	3.405993e+00	5.977257e-01	1.733895e+00	1.975455e+00	0
TCGA-AB-2965-03A-01T-0734-13	2.042109e+00	0	4.357176e+00	0	4.985700e-01	1.764799e+00	5.650307e-01
TCGA-AB-2966-03A-01T-0734-13	3.526274e-01	0	8.265356e-01	1.514626e+00	2.118465e-01	5.137629e+00	0
TCGA-AB-2967-03A-01T-0734-13	2.056448e+00	0	3.707454e+00	0	1.072710e+00	1.278797e+00	5.552253e-01
TCGA-AB-2969-03A-01T-0734-13	2.745173e+00	0	3.713029e+00	0	0	9.568043e-01	5.067518e-01
TCGA-AB-2970-03A-01T-0734-13	1.807887e+00	0	1.574978e+00	2.012058e+00	1.168421e+00	2.537615e+00	0
TCGA-AB-2971-03A-01T-0734-13	2.109022e+00	8.832664e-01	3.912310e+00	5.447042e-01	7.358163e-01	1.285192e+00	0
