sampleID	D9.8_REACTOME-GABA-A-RECEPTOR-ACTIVATION	D8.3_GNF2-BUB1	D9.4_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC	D9.2_GCM-AQP4	D6.3_GNF2-CDH11
TCGA-12-0619-01A-01R-1849-01	6.566810e-02	9.439620e-01	5.303736e-01	1.967836e+00	2.399319e+00
TCGA-12-0821-01A-01R-1849-01	5.832785e-01	1.061519e+00	9.794244e-01	2.520312e+00	1.012310e+00
TCGA-12-1597-01B-01R-1849-01	6.363044e-01	1.999775e+00	1.513281e+00	1.237057e+00	8.363625e-01
TCGA-12-3650-01A-01R-1849-01	5.437492e-01	1.760966e+00	1.552807e+00	5.917504e-01	1.126897e-01
TCGA-12-3652-01A-01R-1849-01	3.330228e-01	6.507042e-01	2.092771e+00	4.085785e-01	0
TCGA-12-3653-01A-01R-1849-01	0	1.797330e-02	8.581519e-01	1.719654e+00	5.681252e-02
TCGA-12-5295-01A-01R-1849-01	0	2.297352e-01	1.952022e+00	1.615175e+00	1.920102e-01
TCGA-12-5299-01A-02R-1849-01	4.246722e-01	8.421542e-01	1.266037e+00	9.600122e-01	8.342459e-01
TCGA-14-0736-02A-01R-2005-01	1.029128e+00	0	1.927473e+00	2.831455e+00	8.118052e-01
TCGA-14-0781-01B-01R-1849-01	1.199152e-01	3.376348e-01	9.308249e-01	1.247953e+00	1.946036e+00
TCGA-14-0787-01A-01R-1849-01	5.628799e-01	5.846008e-01	1.037722e+00	9.406357e-01	6.259661e-01
TCGA-14-0789-01A-01R-1849-01	7.263922e-03	5.089296e-01	6.807348e-01	8.849838e-01	2.251346e+00
TCGA-14-0790-01B-01R-1849-01	4.309027e-01	3.572809e-01	8.089444e-01	2.800053e+00	0
TCGA-14-0817-01A-01R-1849-01	4.002775e-01	7.547100e-01	1.772585e+00	1.539559e+00	9.236923e-01
TCGA-14-1034-01A-01R-1849-01	0	2.990516e-03	5.563427e-01	2.718981e+00	1.643666e+00
TCGA-14-1034-02B-01R-2005-01	7.549703e-01	2.894006e-01	7.360051e-01	1.508530e+00	6.519083e-01
TCGA-14-1402-02A-01R-2005-01	7.103637e-01	0	1.906983e+00	2.062182e+00	2.436407e-01
TCGA-14-1823-01A-01R-1849-01	1.589966e-01	0	1.614122e+00	3.106953e+00	1.098572e+00
TCGA-14-1825-01A-01R-1850-01	2.250392e-01	2.630888e+00	1.260316e+00	1.581868e+00	1.255928e+00
TCGA-14-1829-01A-01R-1850-01	1.482774e-01	5.336948e-01	2.492539e+00	2.394385e+00	7.195082e-01
TCGA-14-2554-01A-01R-1850-01	5.536257e-01	2.234798e-01	1.404005e+00	2.536571e+00	6.702691e-01
TCGA-15-0742-01A-01R-1850-01	4.064038e-01	1.364772e+00	9.792445e-01	7.777984e-01	1.778261e-01
TCGA-15-1444-01A-02R-1850-01	1.118135e-01	1.663562e+00	6.220897e-01	2.918344e+00	1.908386e+00
TCGA-16-0846-01A-01R-1850-01	7.860870e-01	1.188143e+00	6.286234e-01	2.786675e+00	1.321936e+00
TCGA-16-1045-01B-01R-1850-01	2.116937e-01	5.450169e-01	6.303973e-01	2.193308e+00	2.071022e+00
TCGA-19-0957-02A-11R-2005-01	6.562906e-01	1.504921e+00	6.354035e-01	1.694316e+00	2.096892e+00
TCGA-19-1389-02A-21R-2005-01	8.161200e-03	0	7.643417e-01	1.617002e+00	3.297667e+00
TCGA-19-1390-01A-01R-1850-01	0	2.754179e+00	7.591694e-01	3.953003e-01	1.692737e+00
TCGA-19-1787-01B-01R-1850-01	6.856382e-02	3.531717e-01	6.957520e-01	2.347676e+00	2.132042e+00
TCGA-19-2619-01A-01R-1850-01	5.526500e-01	1.188848e+00	5.486661e-01	1.327805e+00	7.408749e-01
TCGA-19-2620-01A-01R-1850-01	6.711584e-01	4.611609e-01	7.882164e-01	1.830594e+00	1.172176e+00
TCGA-19-2624-01A-01R-1850-01	8.190485e-01	2.230858e+00	7.142260e-01	9.132390e-01	6.426647e-01
TCGA-19-2625-01A-01R-1850-01	7.886279e-02	5.093602e-01	7.666047e-01	2.734659e+00	1.625775e+00
TCGA-19-2629-01A-01R-1850-01	6.505267e-02	1.897876e+00	9.017766e-01	2.431925e+00	2.108735e+00
TCGA-19-4065-01A-01R-2005-01	3.157280e-01	4.573502e-01	1.294910e+00	1.007462e+00	1.659287e+00
TCGA-19-4065-02A-11R-2005-01	1.095238e+00	2.193427e-01	6.452085e-01	8.297458e-01	2.314678e+00
TCGA-19-5960-01A-11R-1850-01	9.005619e-01	1.260072e+00	3.534156e-01	2.789603e+00	7.455100e-01
TCGA-26-1442-01A-01R-1850-01	9.362652e-01	1.162261e+00	5.892489e-01	2.911497e+00	1.148084e+00
TCGA-26-5132-01A-01R-1850-01	1.756249e-01	6.734656e-01	6.709770e-01	2.177099e+00	1.468935e+00
TCGA-26-5133-01A-01R-1850-01	3.915925e-02	1.993518e+00	1.082404e+00	1.463541e+00	1.525039e+00
TCGA-26-5134-01A-01R-1850-01	3.288278e-01	2.443261e+00	8.918427e-01	1.173853e+00	1.629645e+00
TCGA-26-5135-01A-01R-1850-01	3.154879e-01	2.316536e+00	9.131251e-01	2.573411e-01	1.493494e+00
TCGA-26-5136-01B-01R-1850-01	2.694817e-01	7.252136e-01	6.933617e-01	2.834932e+00	1.650742e+00
TCGA-26-5139-01A-01R-1850-01	6.500212e-01	5.256153e-01	7.181389e-01	1.427749e+00	1.042662e+00
