sampleID	D10.9_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D10.8_GNF2-CDH3	D10.7_CHASSOT-SKIN-WOUND	D10.6_PROTEIN-DEACETYLASE-ACTIVITY	D11.3_FARMER-BREAST-CANCER-CLUSTER-5	D11.8_BIOCARTA-ETC-PATHWAY
TCGA-DJ-A13L-01A-11R-A220-07	1.027192e+00	4.416714e-01	2.414719e-01	2.919221e-01	2.563654e+00	5.451601e-01
TCGA-DJ-A13M-01A-11R-A10U-07	2.266708e-02	2.515940e-01	2.259931e-01	2.918784e+00	0	7.251717e-01
TCGA-DJ-A13O-01A-11R-A10U-07	7.924490e-01	1.055094e+00	1.722016e+00	2.933363e-01	1.010554e+00	8.137259e-01
TCGA-DJ-A13P-01A-11R-A10U-07	1.803111e-01	0	0	2.075208e-01	6.359370e-01	1.244113e-01
TCGA-DJ-A13R-01A-11R-A10U-07	1.347569e+00	4.100242e-01	4.336835e-01	7.098494e-01	4.451066e-01	1.244325e+00
TCGA-DJ-A13S-01A-11R-A10U-07	6.244099e-02	0	0	3.050663e+00	4.095562e-01	9.506887e-01
TCGA-DJ-A13T-01A-11R-A10U-07	2.318292e-01	5.515180e-01	0	6.866484e-01	6.478293e-01	6.049934e-02
TCGA-DJ-A13U-01A-11R-A10U-07	2.686048e-01	3.088037e-01	6.176962e-02	1.832169e-01	1.287387e+00	9.807440e-01
TCGA-DJ-A13V-01A-11R-A10U-07	3.627033e-01	3.661682e-01	0	0	1.329318e+00	6.873896e-02
TCGA-DJ-A13W-01A-11R-A10U-07	4.684901e-01	0	9.728034e-01	7.629841e-01	7.795697e-01	6.343634e-02
TCGA-DJ-A13X-01A-11R-A10U-07	2.701992e-01	0	9.121483e-01	3.428084e-01	1.013460e+00	1.052963e-01
TCGA-DJ-A1QD-01A-11R-A14Y-07	3.181168e-01	1.199457e+00	5.109264e-01	3.704292e-02	1.520381e+00	7.651439e-01
TCGA-DJ-A1QE-01A-21R-A14Y-07	3.955706e-01	1.380811e+00	0	0	2.362335e+00	5.856835e-01
TCGA-DJ-A1QF-01A-12R-A14Y-07	1.885015e-01	0	0	2.524491e-02	1.507100e+00	2.916407e-01
TCGA-DJ-A1QG-01A-11R-A14Y-07	2.724141e-01	0	0	2.501207e+00	7.366418e-01	9.575424e-01
TCGA-DJ-A1QH-01A-21R-A14Y-07	3.224727e-01	5.835209e-01	0	0	2.565915e+00	7.802495e-01
TCGA-DJ-A1QI-01A-11R-A14Y-07	3.804339e-01	4.270610e-01	0	6.050789e-02	1.264196e+00	1.903924e-01
TCGA-DJ-A1QL-01A-11R-A14Y-07	1.986168e-01	0	6.752588e-01	8.426219e-01	7.902125e-01	1.538491e-01
TCGA-DJ-A1QM-01A-11R-A14Y-07	4.059489e-01	4.031737e-01	1.697080e+00	5.130599e-01	2.006305e+00	5.102528e-01
TCGA-DJ-A1QN-01A-11R-A14Y-07	4.181573e-01	0	0	9.361490e-01	1.184677e+00	8.885915e-02
TCGA-DJ-A1QO-01A-11R-A14Y-07	6.139277e-01	1.573632e+00	1.668598e-01	9.585407e-03	2.047527e+00	8.879721e-01
TCGA-DJ-A1QQ-01A-11R-A14Y-07	4.425056e-01	1.191513e+00	2.116349e-01	3.110038e-01	1.569496e+00	2.929895e-02
TCGA-DJ-A2PN-01A-21R-A19O-07	3.085014e-01	1.416766e+00	2.806905e-01	1.814936e-01	1.211981e+00	5.191212e-01
TCGA-DJ-A2PO-01A-21R-A19O-07	7.918206e-01	0	0	6.659238e-01	1.435970e+00	2.862224e-01
TCGA-DJ-A2PP-01A-11R-A19O-07	0	0	0	1.494059e+00	2.858659e-01	1.289087e+00
TCGA-DJ-A2PQ-01A-11R-A18C-07	3.456496e-02	0	0	2.321281e-01	1.193184e+00	2.625281e-01
TCGA-DJ-A2PR-01A-11R-A19O-07	6.839735e-01	1.055304e+00	0	8.007072e-01	6.005566e-01	1.177825e-01
TCGA-DJ-A2PS-01A-11R-A18C-07	5.690339e-01	1.632677e-01	1.002650e+00	8.254589e-01	1.099457e+00	2.332097e-01
TCGA-DJ-A2PT-01A-11R-A18C-07	7.003205e-01	1.207514e+00	3.133209e-02	0	2.854588e+00	9.298718e-01
TCGA-DJ-A2PU-01A-12R-A19O-07	3.921862e-01	0	0	1.453991e-01	1.224139e+00	3.513728e-02
TCGA-DJ-A2PV-01A-11R-A19O-07	4.410791e-01	0	7.772019e-01	5.028183e-02	1.592834e+00	0
TCGA-DJ-A2PW-01A-11R-A19O-07	5.327566e-01	1.092265e+00	0	1.260787e-01	1.212976e+00	5.062321e-01
TCGA-DJ-A2PX-01A-11R-A18C-07	1.016390e+00	0	5.065120e-01	9.806108e-01	9.404113e-01	9.999830e-02
TCGA-DJ-A2PY-01A-11R-A18C-07	4.492065e-01	5.151513e-01	2.547965e-02	3.052060e-02	2.608815e+00	5.648468e-01
TCGA-DJ-A2PZ-01A-21R-A18C-07	4.335682e-01	4.897148e-01	6.425469e-01	1.440721e-01	2.094122e+00	7.923413e-01
TCGA-DJ-A2Q0-01A-11R-A206-07	1.975963e-01	0	0	2.686909e-01	7.486751e-01	2.072873e+00
TCGA-DJ-A2Q1-01A-22R-A19O-07	9.818733e-01	9.401229e-01	1.354501e-01	4.689264e-01	2.854551e+00	8.476149e-01
TCGA-DJ-A2Q2-01A-11R-A19O-07	5.558390e-01	1.523508e-01	1.194007e+00	1.470476e-01	9.976579e-01	1.046946e+00
TCGA-DJ-A2Q3-01A-11R-A18C-07	8.925863e-01	7.717074e-01	6.918051e-01	5.508208e-01	1.833718e+00	5.478141e-01
TCGA-DJ-A2Q4-01A-21R-A18C-07	5.002895e-01	1.557477e+00	0	1.472096e-01	1.123890e+00	3.832496e-01
TCGA-DJ-A2Q5-01A-11R-A18C-07	1.120533e+00	0	0	3.488994e-01	1.261280e+00	1.543967e-01
TCGA-DJ-A2Q6-01A-11R-A18C-07	4.947408e-01	0	3.824779e-01	4.453630e-01	2.385254e+00	9.981043e-02
TCGA-DJ-A2Q7-01A-11R-A18C-07	5.831002e-01	0	4.671605e-01	7.856764e-02	9.629481e-01	1.799459e-01
TCGA-DJ-A2Q9-01A-21R-A18C-07	1.216978e+00	5.238893e-01	4.937223e-01	0	3.163499e+00	5.565091e-01
TCGA-DJ-A2QA-01A-11R-A18C-07	2.341938e-01	3.164820e-01	1.635461e+00	4.844753e-01	1.294214e+00	6.548803e-01
TCGA-DJ-A2QB-01A-11R-A19O-07	2.298171e-01	0	4.621491e-02	2.276938e+00	4.854047e-01	1.179787e+00
TCGA-DJ-A2QC-01A-11R-A18C-07	3.684510e-01	1.436543e-01	1.677896e-01	7.184091e-01	8.279038e-01	3.546705e-01
TCGA-DJ-A3UK-01A-11R-A22L-07	3.157444e-01	2.695846e-03	2.918102e-01	6.711228e-01	1.003008e+00	0
TCGA-DJ-A3UM-01A-11R-A22L-07	4.492695e-01	8.308209e-01	1.132756e-01	1.812071e-01	1.494265e+00	3.927932e-01
TCGA-DJ-A3UN-01A-11R-A22L-07	4.531855e-01	0	3.624203e-01	1.235644e+00	1.033649e+00	7.499212e-02
TCGA-DJ-A3UO-01A-11R-A22L-07	1.694907e-01	6.771224e-01	0	1.434009e+00	1.133692e+00	3.157300e-01
TCGA-DJ-A3UP-01A-11R-A22L-07	3.839310e-01	1.531878e-01	0	2.703468e+00	0	1.425455e-01
TCGA-DJ-A3UQ-01A-11R-A22L-07	5.110527e-01	5.287630e-01	5.436497e-01	1.925734e-01	3.023457e+00	4.282345e-01
TCGA-DJ-A3UR-01A-11R-A22L-07	2.304883e-01	0	3.254323e-01	0	6.888413e-01	1.545397e-01
TCGA-DJ-A3US-01A-11R-A22L-07	1.081634e+00	4.765884e-01	9.003220e-01	1.739700e+00	4.583894e-01	2.037404e-01
TCGA-DJ-A3UT-01A-11R-A22L-07	0	1.525916e-01	1.834978e+00	2.281193e+00	5.677567e-01	6.164861e-01
TCGA-DJ-A3UU-01A-11R-A22L-07	6.689934e-01	1.766578e-01	1.123607e+00	2.526404e-01	1.311904e+00	7.784514e-02
TCGA-DJ-A3UW-01A-11R-A22L-07	1.086424e+00	6.083751e-01	6.854528e-01	3.313754e-01	1.755541e+00	5.906609e-01
TCGA-DJ-A3UX-01A-11R-A22L-07	6.627329e-01	2.358665e-01	1.894646e+00	3.461717e-01	8.352263e-01	5.282540e-01
TCGA-DJ-A3UY-01A-21R-A22L-07	5.398640e-01	5.985318e-01	1.312840e+00	1.495959e-01	2.134872e+00	6.482539e-01
TCGA-DJ-A3UZ-01A-11R-A22U-07	6.833856e-01	2.337082e-01	1.928888e+00	1.388455e+00	5.566108e-01	3.513987e-01
TCGA-DJ-A3V0-01A-11R-A22U-07	3.722687e-01	3.336110e-01	8.372515e-01	3.057725e-01	2.698773e+00	5.900512e-01
TCGA-DJ-A3V2-01A-11R-A22U-07	1.071267e+00	3.997679e-02	2.007823e-01	3.624920e-01	8.828946e-01	2.563735e-01
TCGA-DJ-A3V3-01A-11R-A22U-07	7.427752e-01	3.886065e-01	6.616118e-01	1.217619e+00	7.502092e-01	1.442657e-01
TCGA-DJ-A3V4-01A-11R-A22U-07	4.545140e-01	3.288930e-01	1.303248e+00	1.882958e-01	1.753743e+00	5.670335e-01
TCGA-DJ-A3V5-01A-11R-A22U-07	2.827930e-01	4.178164e-01	6.313535e-01	0	2.604410e+00	5.041248e-01
TCGA-DJ-A3V7-01A-11R-A23N-07	3.880075e-01	1.026340e+00	0	3.080021e-01	9.999335e-01	9.263433e-01
TCGA-DJ-A3V8-01A-11R-A23N-07	3.072817e-01	1.361456e+00	4.136902e-01	1.742193e-01	1.390408e+00	8.149669e-01
TCGA-DJ-A3V9-01A-11R-A23N-07	5.141447e-01	8.409677e-01	9.975516e-01	4.641990e-01	1.014845e+00	1.167464e-01
TCGA-DJ-A3VA-01A-11R-A23N-07	4.973166e-01	9.184883e-01	0	1.598778e-01	7.900053e-01	4.298108e-01
TCGA-DJ-A3VB-01A-11R-A23N-07	5.730080e-01	1.301315e+00	0	3.655500e-01	2.088109e+00	9.589832e-01
TCGA-DJ-A3VD-01A-11R-A23N-07	1.148830e+00	7.424803e-01	7.879669e-01	0	2.410397e+00	3.890052e-01
TCGA-DJ-A3VE-01A-11R-A23N-07	2.848171e-01	9.575649e-01	1.572130e-01	0	1.425428e+00	1.192666e-01
TCGA-DJ-A3VF-01A-11R-A23N-07	5.718580e-01	4.654143e-01	4.648751e-01	3.368719e-01	3.596458e+00	5.128198e-01
TCGA-DJ-A3VG-01A-11R-A23N-07	2.168120e-01	2.295208e-01	9.865429e-01	2.686132e+00	7.191185e-01	3.447713e-01
TCGA-DJ-A3VI-01A-11R-A23N-07	4.276646e-01	1.299275e+00	0	0	8.961696e-01	7.636579e-01
TCGA-DJ-A3VJ-01A-11R-A23N-07	5.551395e-01	1.172668e+00	4.342615e-01	7.380250e-01	1.499684e+00	3.142973e-01
TCGA-DJ-A3VK-01A-11R-A23N-07	2.121714e-01	0	2.455336e-01	2.822547e+00	7.803934e-01	2.882310e-01
TCGA-DJ-A3VL-01A-11R-A23N-07	9.052339e-01	0	1.113976e+00	2.605814e+00	3.345896e-01	5.198411e-01
TCGA-DJ-A3VM-01A-11R-A23N-07	1.484241e-01	0	2.619430e-01	2.636182e+00	1.126672e+00	6.603570e-01
TCGA-DJ-A4UL-01A-11R-A250-07	4.422220e-01	1.266807e-01	1.748398e-01	1.314514e-01	8.422856e-01	3.909148e-01
TCGA-DJ-A4UP-01A-11R-A250-07	8.886489e-01	1.610408e-01	1.476565e+00	1.937056e+00	9.940475e-01	2.120930e-01
TCGA-DJ-A4UQ-01A-11R-A250-07	4.886810e-01	7.158138e-01	1.038399e+00	1.145254e+00	1.601288e+00	1.928328e-01
TCGA-DJ-A4UR-01A-11R-A250-07	4.953730e-01	0	3.230504e-01	3.111049e+00	1.147172e+00	2.059689e-01
TCGA-DJ-A4UT-01A-11R-A250-07	9.530630e-01	7.511761e-01	2.406964e-01	1.394133e+00	1.953019e+00	3.008357e-01
TCGA-DJ-A4UW-01A-11R-A250-07	4.193127e-01	5.275415e-02	1.715568e+00	9.136142e-01	2.170001e+00	1.448232e-01
TCGA-DJ-A4V0-01A-11R-A250-07	1.101117e+00	5.694114e-02	1.558099e+00	1.563622e+00	6.661318e-01	2.842114e-01
TCGA-DJ-A4V2-01A-11R-A250-07	4.859771e-01	1.721074e+00	3.387924e-02	2.459839e-01	1.471826e+00	6.294171e-01
TCGA-DJ-A4V4-01A-11R-A250-07	3.094860e-01	4.223628e-01	1.257484e+00	3.894523e-01	1.751746e+00	5.718447e-01
TCGA-DJ-A4V5-01A-11R-A250-07	8.633455e-01	9.924416e-01	1.351517e-01	1.151179e+00	1.750911e+00	2.339432e-01
TCGA-DO-A1JZ-11A-11R-A13Y-07	1.553343e-01	0	2.459116e+00	1.661004e-01	3.051290e-01	5.185630e-01
TCGA-DO-A1JZ-01A-11R-A13Y-07	4.317915e-02	9.821821e-01	0	8.294542e-01	5.168031e-01	2.017912e-01
TCGA-DO-A1K0-01A-11R-A13Y-07	1.902442e-01	5.994908e-01	0	1.312262e-02	1.559207e+00	4.062835e-01
