sampleID	D16.12_ZHOU-PANCREATIC-ENDOCRINE-PROGENITOR	D14.11_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D15.13_GNF2-SERPINI2	D14.4_ANASTASSIOU-CANCER-MESENCHYMAL-TRANSITION-SIGNATURE	D8.4_MODULE-106	D16.1_MIPS-UTX-MLL2-3-COMPLEX	D14.7_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D15.5_REACTOME-BETA-DEFENSINS	D9.8_GNF2-SERPINB5	D16.15_chr11q11
TCGA-Z5-AAPL-01A	0	1.420297e+00	0	7.358496e-01	1.450915e+00	2.901576e+00	6.740733e-01	0	5.720970e-01	2.165971e-01
TCGA-FB-AAQ2-01A	5.049665e-01	3.169295e-01	0	6.558298e-01	2.818887e-01	2.713887e+00	6.103549e-01	0	2.042972e+00	1.128248e-01
TCGA-F2-6879-01A	0	0	0	1.152083e+00	2.591141e+00	2.683771e+00	4.727981e-01	0	9.836397e-02	2.346555e-01
TCGA-HZ-7925-01A	2.635507e-01	8.334027e-02	0	1.538960e+00	1.124525e+00	2.719539e+00	8.908330e-01	0	2.116603e-01	0
TCGA-IB-7651-01A	3.205460e-01	2.198785e-01	1.217461e-02	1.251756e+00	1.002454e+00	3.232526e+00	6.094656e-01	3.800695e-01	2.740372e-01	3.836064e-02
TCGA-HZ-7926-01A	0	3.560445e-01	5.622169e-02	5.574521e-01	1.740069e+00	2.895491e+00	8.142222e-01	1.012392e+00	3.087702e-01	0
TCGA-IB-7885-01A	7.912952e-02	3.633892e-01	0	1.677055e+00	1.211625e+00	2.782894e+00	8.468700e-01	3.359724e-01	4.345482e-01	0
TCGA-IB-7652-01A	4.006042e-01	2.140615e-01	2.687989e-01	1.287945e+00	1.029687e+00	3.223126e+00	4.892645e-01	4.318204e-01	2.038766e-01	0
TCGA-IB-7644-01A	0	0	0	1.193775e+00	2.475780e+00	2.950575e+00	1.166436e+00	0	0	4.797918e-01
TCGA-IB-7887-01A	0	1.012272e-01	0	1.643521e+00	1.649986e+00	2.760646e+00	7.362532e-01	2.934457e-01	2.631912e-01	1.073797e-01
TCGA-IB-7889-01A	1.705432e-01	5.229440e-01	3.349371e-01	1.080754e+00	1.061405e+00	2.555368e+00	5.658512e-01	4.548293e-01	8.486061e-01	1.872098e-01
TCGA-IB-7646-01A	3.948892e-02	5.374614e-02	0	1.408625e+00	6.551392e-01	3.343527e+00	3.961838e-01	0	8.872232e-01	0
TCGA-IB-7886-01A	4.155846e-02	8.145482e-02	0	1.078884e+00	1.821792e+00	2.888274e+00	7.089689e-01	3.329827e-01	3.616257e-01	3.570305e-01
TCGA-IB-7893-01A	2.488811e-01	4.991044e-02	0	1.957847e+00	1.578595e-01	3.112498e+00	4.277740e-01	0	6.442514e-01	1.507228e-01
TCGA-HZ-7919-01A	3.293603e-01	3.947028e-02	0	1.126252e+00	1.767505e+00	3.213835e+00	5.141819e-01	4.527358e-01	6.797035e-01	8.648692e-02
TCGA-HZ-8001-01A	5.795202e-01	5.592489e-01	0	1.259429e+00	1.202883e-01	2.027308e+00	8.556040e-01	1.734092e-01	8.288729e-01	1.979322e-01
TCGA-IB-7647-01A	4.371292e-01	4.980041e-01	0	8.452143e-01	1.563634e+00	2.955574e+00	5.931594e-01	0	2.013511e-01	2.618869e-01
TCGA-IB-7897-01A	6.757625e-01	6.547557e-01	0	1.022402e+00	2.428080e-01	3.628436e+00	1.204462e+00	0	1.350772e-01	1.446619e-01
TCGA-IB-7888-01A	5.007485e-01	7.550345e-01	0	1.393321e+00	1.154231e+00	3.053316e+00	7.623724e-01	0	0	3.001233e-01
TCGA-HZ-8002-01A	3.467113e-01	4.582333e-01	4.185869e-02	9.135732e-01	3.521229e-01	3.020527e+00	9.413239e-01	9.091214e-01	0	0
TCGA-HZ-7922-01A	2.324961e-01	1.852466e-01	3.482914e-01	1.501664e+00	1.032999e+00	3.158454e+00	6.136122e-01	8.155561e-02	6.436701e-01	1.774208e-01
TCGA-HZ-8003-01A	4.944190e-01	5.103102e-01	5.820280e-01	1.209182e+00	4.209048e-01	3.135694e+00	6.895577e-01	1.038633e-01	2.254233e-01	3.475056e-01
TCGA-IB-7649-01A	3.657709e-01	2.905752e-01	4.060879e-02	1.223988e+00	1.146912e+00	3.064183e+00	6.832731e-01	8.964643e-01	1.734855e-01	2.901030e-01
TCGA-IB-7645-01A	3.411165e-01	6.791321e-01	0	1.410322e+00	1.207582e+00	3.330750e+00	9.949251e-01	0	0	1.621810e-01
TCGA-IB-7890-01A	4.013410e-01	1.137823e-01	0	1.715236e+00	4.411664e-01	2.896502e+00	4.900664e-01	0	8.631627e-01	3.572392e-02
TCGA-IB-7891-01A	3.939112e-01	3.938807e-01	2.466888e-01	1.346309e+00	6.746782e-01	3.182663e+00	5.655316e-01	6.707317e-01	8.556517e-02	2.385097e-01
TCGA-H6-8124-01A	2.254649e-01	0	0	1.605421e+00	7.133044e-01	3.194007e+00	4.625017e-01	3.979825e-01	9.960460e-01	3.311707e-01
TCGA-HZ-8315-01A	9.037835e-02	2.708579e-01	6.493144e-02	1.280290e+00	1.347962e+00	3.085585e+00	8.295212e-01	6.382318e-01	5.907259e-01	7.769682e-02
TCGA-HZ-8317-01A	0	2.775704e-02	3.599146e-01	8.768052e-01	1.228032e+00	2.961367e+00	1.758068e+00	7.599956e-01	1.533422e-01	2.659533e-01
TCGA-HZ-8519-01A	6.786988e-01	3.959854e-01	0	5.149982e-01	5.158335e-01	2.883423e+00	1.383319e+00	0	0	1.101099e-01
TCGA-HZ-8636-01A	3.752428e-01	1.948922e-01	0	1.524173e+00	1.277723e+00	3.237100e+00	6.353091e-01	2.352205e-01	4.442623e-01	2.872810e-02
TCGA-HZ-8637-01A	5.526839e-01	8.378189e-01	0	1.021173e+00	9.320599e-01	3.127607e+00	7.264088e-01	0	9.816574e-02	3.226982e-01
TCGA-IB-8127-01A	1.947646e-01	1.587334e-01	9.737861e-02	1.106518e+00	1.382411e+00	2.688226e+00	4.628519e-01	4.189390e-01	7.013954e-01	6.263149e-02
TCGA-IB-8126-01A	3.400080e-01	6.388132e-01	5.365342e-01	9.841423e-01	3.160304e-01	3.055960e+00	1.084195e+00	5.270698e-01	0	1.888688e-01
TCGA-F2-A44H-01A	3.351433e-01	1.223936e-01	4.158315e-01	1.466720e+00	1.881736e-01	2.258929e+00	8.497784e-01	4.386118e-01	0	1.144809e-01
TCGA-FB-A4P6-01A	2.950135e-01	2.709565e-01	2.559388e-02	5.847516e-01	1.162714e+00	2.620191e+00	1.053326e+00	1.150980e+00	0	0
TCGA-FB-A4P5-01A	4.539822e-01	6.816841e-01	9.739138e-02	1.252348e+00	7.347560e-01	2.454853e+00	8.403063e-01	3.790256e-01	6.426886e-01	0
TCGA-H6-A45N-01A	5.144069e-01	3.837842e-01	0	1.210457e+00	1.089008e+00	2.698520e+00	7.729184e-01	6.359050e-01	4.487758e-01	1.108825e-01
TCGA-HV-A5A3-01A	4.150294e-02	1.483173e-03	0	1.133168e+00	1.784061e+00	2.498637e+00	1.851030e-01	2.509603e-01	1.051303e+00	0
TCGA-HV-A5A5-01A	4.715808e-01	2.180154e-01	0	1.173418e+00	1.176012e+00	2.744429e+00	8.209304e-01	7.927206e-01	5.283346e-02	2.067814e-01
TCGA-HV-A5A4-01A	4.216679e-01	1.268454e-01	0	1.388134e+00	1.887240e+00	2.564446e+00	7.587696e-01	9.824200e-02	2.246993e-01	1.088283e-01
TCGA-HZ-A49H-01A	3.140249e-01	5.470129e-01	3.405221e-01	1.149403e+00	7.706938e-01	2.483170e+00	1.225850e+00	4.213215e-01	2.211383e-02	2.191465e-01
TCGA-HV-A5A6-01A	0	0	0	1.418293e+00	1.352480e+00	2.678961e+00	8.445972e-01	1.490543e-01	6.720116e-01	6.708274e-01
TCGA-HZ-A49G-01A	3.689394e-01	3.024526e-01	2.086737e-01	1.187166e+00	9.804463e-01	2.819201e+00	8.226288e-01	7.079094e-01	3.128101e-01	1.082876e-01
TCGA-HZ-A4BH-01A	4.309309e-01	5.268272e-01	0	1.004740e+00	1.323157e+00	2.583371e+00	6.134046e-01	0	6.247170e-01	0
TCGA-HZ-A49I-01A	1.537651e-01	5.239962e-01	0	1.069411e+00	1.779546e+00	2.357586e+00	5.045124e-01	2.026615e-01	1.925873e-01	7.049691e-02
TCGA-HZ-A4BK-01A	1.011438e-01	2.753334e-01	0	7.822669e-01	1.830719e+00	2.354467e+00	8.146436e-01	8.150175e-01	2.316803e-01	3.868559e-02
TCGA-M8-A5N4-01A	0	1.670257e-01	0	1.503943e+00	1.752576e+00	2.995776e+00	6.561545e-01	0	6.066169e-01	0
TCGA-F2-A44G-01A	2.254024e-02	2.971148e-02	8.535808e-02	1.562748e+00	1.720795e+00	2.783889e+00	6.467678e-01	3.653658e-01	6.260793e-01	0
TCGA-HZ-8005-01A	2.990492e-02	4.400064e-02	0	1.566013e+00	0	2.982884e+00	2.730180e-01	0	1.263148e+00	0
TCGA-PZ-A5RE-01A	1.846718e-01	1.064793e-01	0	1.599471e+00	2.109678e+00	2.203339e+00	5.266123e-01	0	7.536235e-01	6.654751e-01
TCGA-FB-A78T-01A	2.631196e-01	1.963649e-01	2.653143e-01	9.087431e-01	1.872257e+00	2.745654e+00	5.303633e-01	5.798430e-01	2.172392e-01	6.689436e-02
TCGA-FB-A5VM-01A	4.152882e-01	6.678351e-01	0	1.199982e+00	0	1.857582e+00	4.375261e-01	0	1.912779e+00	1.535510e-01
TCGA-US-A774-01A	1.709259e-01	3.495329e-01	1.991441e-01	1.432244e+00	1.075388e+00	2.547632e+00	8.082718e-01	7.559923e-01	3.451022e-01	7.580624e-02
TCGA-OE-A75W-01A	2.744230e-01	1.596411e-01	0	1.369865e+00	1.905084e+00	1.280453e+00	3.924595e-01	1.602072e-02	5.718073e-01	1.662316e-01
TCGA-US-A779-01A	4.241388e-01	6.339210e-02	0	5.446780e-01	2.164136e+00	2.269533e+00	6.360680e-01	3.821346e-01	5.633201e-01	1.860201e-01
TCGA-IB-A5SP-01A	3.843089e-01	0	1.467106e-01	3.101233e-01	2.326721e+00	2.217307e+00	4.610761e-01	2.547160e-01	4.560666e-01	1.099508e-01
