sampleID	D15.15_GNF2-BUB1	D17.11_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D12.10_AIGNER-ZEB1-TARGETS	D8.3_BOYAULT-LIVER-CANCER-SUBCLASS-G56-UP	D10.8_chr11q11	D19.17_MODULE-78	D14.1_REACTOME-RECYCLING-OF-BILE-ACIDS-AND-SALTS	D19.16_CHIANG-LIVER-CANCER-SUBCLASS-POLYSOMY7-UP	D17.9_REACTOME-BETA-DEFENSINS	D19.5_THUM-MIR21-TARGETS-HEART-DISEASE-UP	D17.12_REACTOME-BETA-DEFENSINS	D14.4_MIPS-UTX-MLL2-3-COMPLEX	D14.7_RUNNE-GENDER-EFFECT-UP	D17.17_LY-AGING-MIDDLE-DN
TCGA-BC-A10S-01A-22R-A131-07	0	1.223689e-01	0	1.190192e+00	9.447107e-01	0	2.653774e+00	0	5.219049e-02	4.946606e-01	2.689881e-01	7.628299e-01	1.059118e+00	0
TCGA-BC-A10T-11A-11R-A131-07	0	6.822993e-02	7.171687e-02	4.920172e-01	2.730251e+00	0	3.131244e+00	4.250128e-02	0	0	1.134656e-01	1.426842e+00	6.100781e-01	0
TCGA-BC-A10T-01A-11R-A131-07	1.316677e-01	8.655686e-03	1.025799e-01	6.649839e-01	2.181973e-01	1.765613e-02	3.251055e+00	0	0	7.198555e-01	0	1.049997e+00	1.809911e+00	0
TCGA-BC-A10U-11A-11R-A131-07	0	0	3.225424e-01	1.149061e-01	2.648184e+00	5.095682e-02	2.884232e+00	9.540907e-02	0	5.963585e-02	2.497732e-01	1.491293e+00	4.420899e-01	0
TCGA-BC-A10U-01A-11R-A131-07	2.202613e-01	4.025828e-02	2.403282e-01	2.391854e+00	1.806432e-01	0	9.409688e-01	2.128305e-01	0	0	2.037003e-01	1.047967e+00	7.438353e-01	0
TCGA-BC-A10W-11A-11R-A131-07	0	1.584169e-01	1.465133e-01	7.652574e-01	2.419014e+00	1.060759e-01	2.870210e+00	1.230058e-01	0	0	1.213459e-01	1.190324e+00	5.238436e-01	0
TCGA-BC-A10W-01A-11R-A131-07	0	0	2.963257e-01	7.250587e-01	1.764843e-01	9.893646e-03	6.804573e-01	0	0	0	1.645743e-01	1.606316e+00	1.424976e+00	5.152855e-01
TCGA-BC-A10X-11A-11R-A131-07	0	9.306599e-02	8.978048e-02	4.043484e-01	2.703624e+00	1.905991e-02	3.156376e+00	2.814293e-01	0	0	4.061718e-02	1.636895e+00	2.217052e-01	0
TCGA-BC-A10X-01A-11R-A131-07	0	9.848872e-02	1.844163e-01	6.942137e-01	2.227251e+00	1.261183e-01	2.472558e+00	1.627822e-01	0	3.244363e-01	1.255545e-01	1.435348e+00	2.520970e-01	0
TCGA-BC-A10Y-11A-11R-A131-07	0	8.949350e-02	5.121388e-02	9.554620e-01	2.297520e+00	0	2.893926e+00	5.235519e-04	0	1.752955e-01	0	1.436758e+00	5.952682e-01	0
TCGA-BC-A10Y-01A-11R-A131-07	2.300143e-01	2.487494e-01	0	3.015522e-01	0	1.414724e-01	3.396568e+00	9.309602e-02	3.299618e-02	0	0	1.196924e+00	1.665354e+00	5.257636e-02
TCGA-BC-A10Z-11A-11R-A131-07	0	1.956081e-02	4.533971e-01	0	2.452402e+00	0	2.602769e+00	5.005757e-02	0	0	2.554270e-01	1.269075e+00	1.336546e-01	0
TCGA-BC-A10Z-01A-11R-A131-07	3.067888e-01	0	0	4.923100e-01	0	2.657066e-01	2.374375e+00	2.939241e-01	1.782145e-02	0	0	1.523714e+00	1.370520e+00	0
TCGA-BC-A110-11A-11R-A131-07	0	9.787569e-02	0	1.762631e-01	2.771839e+00	1.624295e-01	2.958580e+00	2.256433e-01	0	0	2.825227e-01	1.521956e+00	2.944744e-01	0
TCGA-BC-A110-01A-11R-A131-07	1.605091e-02	2.206302e-01	2.227074e-01	8.147841e-02	2.015274e+00	7.839798e-02	2.659839e+00	1.013698e-01	0	5.654101e-01	4.294252e-01	1.006147e+00	4.337692e-01	0
TCGA-BC-A112-01A-11R-A131-07	0	2.199268e-02	9.589028e-01	6.322751e-01	0	1.465570e-02	1.880093e-01	0	0	4.407900e-01	4.012446e-02	1.172301e+00	1.022976e+00	2.430654e-01
TCGA-BC-A216-11A-11R-A155-07	0	1.627074e-01	7.478628e-02	1.609529e-01	2.603216e+00	2.110707e-01	3.010418e+00	7.279826e-02	0	0	3.933453e-01	1.519602e+00	4.946477e-01	0
TCGA-BC-A216-01A-11R-A155-07	0	2.064877e-01	1.350472e-01	0	5.400167e-01	9.797701e-02	1.299398e+00	2.356894e-01	5.773246e-02	0	2.807274e-01	1.686407e+00	5.503926e-01	3.365977e-01
TCGA-BC-A217-01A-11R-A155-07	4.365782e-01	3.346255e-01	1.000834e-01	4.142357e-01	0	3.459604e-01	1.913866e+00	7.687567e-02	0	0	0	1.027644e+00	8.871845e-01	0
TCGA-BC-A3KF-01A-11R-A213-07	2.635153e-02	0	2.486670e-06	4.977405e-01	7.847724e-02	1.015232e-01	2.498306e+00	4.804296e-01	4.324280e-01	0	0	1.379767e+00	1.236162e+00	2.384057e-01
TCGA-BC-A3KG-01A-11R-A213-07	2.532732e-01	3.152290e-02	0	4.286580e-01	0	2.617076e-01	8.149536e-01	2.913915e-01	9.698101e-02	0	0	1.774626e+00	1.001176e+00	1.715569e-01
TCGA-BC-A5W4-01A-11R-A28V-07	0	0	1.967918e-01	1.573379e+00	0	0	2.632763e+00	1.328966e-01	2.641173e-03	0	0	6.239803e-01	1.621543e+00	2.165460e-01
TCGA-BC-A69H-01A-11R-A311-07	1.921427e-01	9.250188e-02	1.970077e-01	8.478911e-01	5.449917e-02	0	0	0	1.058816e+00	1.049404e-01	1.854821e-01	4.309901e-01	1.451083e+00	1.985908e-01
TCGA-BC-A69I-01A-11R-A311-07	0	8.876409e-02	0	3.695440e+00	6.803502e-01	0	2.289210e+00	0	0	3.634272e-01	3.564139e-01	3.423876e-01	1.339349e+00	0
TCGA-BC-A8YO-01A-11R-A37K-07	0	3.412664e-01	0	5.249938e-01	2.433854e-01	0	1.322022e+00	1.392306e-01	0	0	0	1.926428e+00	8.251316e-01	4.697848e-01
TCGA-BD-A2L6-11A-21R-A213-07	0	5.171387e-01	9.475327e-02	4.453314e-01	2.177772e+00	0	2.975061e+00	0	0	3.727994e-01	0	1.284469e+00	6.374687e-01	0
TCGA-BD-A2L6-01A-11R-A213-07	9.224813e-02	1.259393e-01	0	3.905850e-01	1.874027e-01	0	3.219492e+00	5.147445e-01	2.161142e-04	2.243057e-01	0	1.042148e+00	1.367418e+00	1.859723e-02
TCGA-BD-A3EP-11A-12R-A22L-07	0	9.543687e-02	1.471625e-01	4.657175e-01	2.467574e+00	0	2.648465e+00	2.818249e-01	0	0	0	1.536289e+00	2.798263e-02	0
TCGA-BD-A3EP-01A-11R-A22L-07	1.885247e-01	2.651426e-01	0	9.753162e-01	2.244580e-01	4.535167e-02	1.107167e+00	2.439177e-01	1.380645e-01	5.995319e-01	3.657016e-01	1.092175e+00	6.698421e-01	0
