sampleID	D7.4_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D5.5_SABATES-COLORECTAL-ADENOMA-SIZE-DN	D10.10_RUNNE-GENDER-EFFECT-UP	D10.7_NIKOLSKY-BREAST-CANCER-20Q11-AMPLICON	D7.5_AUJLA-IL22-AND-IL17A-SIGNALING
TCGA-EI-6885-01A-11R-1928-07	1.455368e+00	1.299915e-01	4.198391e-01	4.111489e-01	2.869924e-01
TCGA-EI-6917-01A-11R-1928-07	1.321908e+00	2.054466e-01	2.756907e-01	0	1.912027e+00
TCGA-EI-7002-01A-11R-1928-07	1.299392e+00	5.073430e-01	1.815397e-01	2.497133e-01	3.708453e-01
TCGA-EI-7004-01A-11R-1928-07	2.100677e+00	9.486427e-01	0	0	1.892155e+00
TCGA-F5-6464-01A-11R-1736-07	2.203766e+00	3.124596e-01	0	4.004398e-01	1.004377e+00
TCGA-F5-6465-01A-11R-1736-07	1.559154e+00	6.446830e-01	1.700219e-01	1.720248e-01	1.408012e-01
TCGA-F5-6571-01A-12R-1830-07	1.585636e+00	3.964622e-01	2.701843e-02	8.540207e-01	0
TCGA-F5-6702-01A-11R-1830-07	1.866641e+00	8.782947e-01	9.136158e-03	4.664856e-01	3.869458e-01
TCGA-F5-6810-01A-11R-1830-07	1.720996e+00	6.255743e-01	0	3.364443e-01	5.923953e-01
TCGA-F5-6811-01A-11R-1830-07	1.213472e+00	7.319645e-01	9.358471e-02	9.676742e-02	3.999629e-01
TCGA-F5-6812-01A-11R-1830-07	2.141289e+00	6.576395e-01	2.392905e-01	2.138390e-01	2.376349e-01
TCGA-F5-6813-01A-11R-1830-07	1.631380e+00	5.698424e-01	2.778477e-01	0	5.867469e-01
TCGA-F5-6814-01A-31R-1928-07	1.230671e+00	4.808241e-01	2.495724e-01	0	1.728444e+00
TCGA-F5-6861-01A-11R-1928-07	1.080601e+00	7.954999e-01	0	3.423670e-01	1.535616e+00
TCGA-F5-6863-01A-11R-1928-07	1.933819e+00	3.785548e-01	5.558444e-02	1.012123e+00	1.500737e-01
TCGA-F5-6864-01A-11R-1928-07	1.923925e+00	7.377179e-01	8.480197e-02	2.899545e-01	4.809617e-02
TCGA-G5-6233-01A-11R-1736-07	8.206241e-01	1.134577e+00	1.320328e-01	6.790269e-01	1.753842e+00
TCGA-G5-6235-01A-11R-1736-07	2.232550e-02	1.697018e+00	4.698883e-01	5.112822e-01	8.363275e-01
TCGA-G5-6572-01A-11R-1830-07	1.250755e+00	3.504732e-01	1.053313e+00	3.775456e-01	0
TCGA-G5-6572-02A-12R-1830-07	1.198727e+00	7.052846e-01	3.018260e+00	0	9.461634e-01
TCGA-G5-6641-01A-11R-A32Z-07	4.329155e-01	1.693553e+00	2.937954e-01	2.913007e-01	1.617954e+00
