sampleID	D20.18_BRCA-Her2+	D29.14_Nonspecific	D28.6_UCEC	D29.25_Nonspecific	D28.23_TGCT	D28.16_Nonspecific	D29.10_PRAD	D29.22_SKCM	D28.19_LIHC	D29.27_LUAD	D28.11_BRCA-Chr8qAmp	D29.26_STAD+ESCA(Digestive)	D29.13_GBM+LGG	D27.13_BRCA-Luminal	D29.24_BLCA	D29.9_PCPG	D14.8_KIRC+KIRP(Pan-Kidney)	D21.5_COAD+STAD+ESCA(Pan-GI)	D27.24_BRCA-Basal	D21.12_THCA	D16.12_Pan-Squamous	D28.15_ACC	D29.18_NA	D29.1_NA	D20.2_NA
KIRP_DD265FAD_F2AB_4B2E_891B_9F33085DF9AF_X006_S01_L030_B1_T1_P009	0	8.923961e-01	2.257329e-02	0	0	1.802274e+00	0	3.193937e-02	4.835731e-03	0	1.309882e-01	0	0	0	8.525338e-02	0	5.326118e+00	0	0	1.987489e-01	0	0	1.283557e-02	6.350198e+00	2.714194e+00
KIRP_DD265FAD_F2AB_4B2E_891B_9F33085DF9AF_X006_S01_L031_B1_T2_P010	0	9.408194e-01	1.805850e-02	0	0	1.847084e+00	0	1.127312e-02	0	0	1.429739e-01	0	0	0	6.460363e-02	0	5.463600e+00	0	0	1.851574e-01	0	0	3.009626e-02	5.837864e+00	2.356399e+00
KIRP_DFEC4B50_8B95_4E6C_B78D_D68B890C66FE_X019_S09_L064_B1_T1_P039	0	3.950342e-01	0	3.519729e-01	0	4.988324e-01	0	0	0	0	2.862961e-01	3.579137e-01	0	0	5.144032e-01	1.944333e+00	2.364785e+00	7.237903e-01	3.175094e-01	1.127158e+00	9.351367e-01	0	5.486635e-01	1.534440e+00	6.124073e+00
KIRP_DFEC4B50_8B95_4E6C_B78D_D68B890C66FE_X019_S09_L065_B1_T2_P046	0	3.851954e-01	0	3.531408e-01	0	4.267416e-01	0	0	0	0	2.782886e-01	3.873464e-01	0	0	5.198876e-01	2.009988e+00	2.346350e+00	7.303381e-01	3.209591e-01	1.092118e+00	9.327497e-01	0	6.457826e-01	1.503255e+00	6.061424e+00
KIRP_E65C8B50_CC10_43D7_9739_6E8658F9D89B_X012_S01_L025_B1_T1_PMRG	0	0	2.740798e-01	0	0	9.107840e-03	0	3.467486e-01	4.429530e-01	0	5.240898e-02	0	0	0	0	5.586404e-01	3.271371e+00	0	0	8.351420e-01	0	1.347828e+00	0	3.163604e+00	5.080487e+00
KIRP_E65C8B50_CC10_43D7_9739_6E8658F9D89B_X012_S01_L026_B1_T2_P022	0	2.779066e-02	2.450112e-01	0	0	0	0	4.236836e-01	4.377890e-01	0	6.605054e-02	0	0	0	0	6.159669e-01	3.089852e+00	0	0	8.084870e-01	0	1.203799e+00	0	3.698711e+00	5.356046e+00
KIRP_FAD34DB3_49EA_4DDC_A565_145EC396087E_X013_S10_L066_B1_T1_P023	1.724082e-02	1.843405e+00	1.632671e-01	0	5.212224e-01	0	0	1.801340e-02	0	0	1.672435e+00	1.078205e-01	1.998082e-01	0	0	1.070216e+00	4.752866e+00	0	0	0	0	1.182964e+00	0	0	4.275597e+00
KIRP_FAD34DB3_49EA_4DDC_A565_145EC396087E_X013_S10_L067_B1_T2_P027	2.841267e-02	1.868128e+00	1.470442e-01	0	5.411761e-01	0	0	9.308674e-03	0	0	1.696771e+00	1.210686e-01	2.032639e-01	0	0	9.887071e-01	4.765416e+00	0	0	0	0	1.198527e+00	0	0	4.171230e+00
KIRP_FDA28C1E_17D3_4068_88C3_51D150F15DC9_X022_S01_L048_B1_T1_P051	0	3.841846e-01	2.768640e-03	0	7.028512e-02	1.161535e+00	0	1.362471e-01	1.791811e-02	0	0	0	0	0	0	7.293204e-01	4.289166e+00	0	0	0	0	1.099296e+00	1.128565e+00	4.427243e+00	2.290891e+00
KIRP_FDA28C1E_17D3_4068_88C3_51D150F15DC9_X022_S01_L049_B1_T2_P048	0	3.973919e-01	3.475578e-03	0	6.815340e-02	1.130512e+00	0	7.592592e-02	0	0	0	0	4.995889e-02	0	0	7.700791e-01	4.321795e+00	0	0	0	0	1.089643e+00	1.155323e+00	5.072380e+00	2.513571e+00
