sampleID	D13.3_CAR-HPX	D15.6_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D16.14_GNF2-TTN	D12.9_GNF2-SERPINI2	D25.2_SCHLOSSER-MYC-AND-SERUM-RESPONSE-SYNERGY	D17.2_REACTOME-OLFACTORY-SIGNALING-PATHWAY	D11.5_JIANG-CORE-DUPLICON-GENES	D16.2_FINETTI-BREAST-CANCER-KINOME-RED	D13.11_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D15.7_FARMER-BREAST-CANCER-CLUSTER-5	D18.12_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D20.17_XENOBIOTIC-METABOLIC-PROCESS	D22.17_GNF2-TM4SF2	D20.11_GNF2-CDH3	D16.10_JIANG-CORE-DUPLICON-GENES	D22.4_REACTOME-OLFACTORY-SIGNALING-PATHWAY
Pancreas_64491	1.179471e-01	3.435887e-02	4.211467e-02	5.684162e-01	2.400611e-01	2.328591e-01	1.366288e-01	2.628961e-01	1.183659e-01	8.820614e-03	6.101131e-02	2.528787e-02	1.021669e-01	1.433922e-02	1.454206e-01	2.340591e-01
Pancreas_64492	6.312110e-02	1.743097e-01	4.058056e-02	3.762323e-01	1.908865e-01	1.688462e-01	1.602838e-01	2.431841e-01	1.217459e-02	2.184825e-01	0	6.582529e-02	8.360017e-02	7.982823e-02	1.874482e-01	1.785797e-01
Pancreas_64494	3.940377e-02	9.936004e-02	5.678962e-02	5.102383e-02	1.664715e-01	1.745736e-01	2.618960e-01	3.229351e-01	4.014634e-02	3.244557e-01	4.367585e-02	2.722480e-02	4.874997e-02	2.167746e-01	2.331787e-01	1.971685e-01
Pancreas_64495	1.811157e-02	2.436381e-01	5.595287e-02	8.604794e-02	1.650942e-01	1.330843e-01	2.292493e-01	2.251789e-01	8.254566e-02	2.018158e-01	2.110785e-01	8.957498e-02	1.820984e-01	6.279480e-02	2.118772e-01	1.862572e-01
Pancreas_56525	4.686513e-02	4.529544e-02	3.345466e-02	8.080147e-03	1.706652e-01	4.037139e-01	1.500716e-01	3.505130e-01	1.134124e-01	3.262204e-01	0	4.620049e-02	2.766539e-03	1.473679e-01	9.931351e-02	2.573845e-01
Pancreas_56527	1.026601e-01	1.407547e-01	1.929121e-02	2.318807e-01	1.690076e-01	3.944660e-01	4.109239e-03	3.760857e-01	0	1.836703e-01	0	1.617063e-01	2.571502e-02	5.331400e-02	5.236131e-02	2.433535e-01
Pancreas_56536	3.508549e-02	1.848081e-01	5.881064e-02	2.481168e-02	1.934097e-01	4.641849e-01	1.182860e-01	3.878742e-01	0	2.976190e-01	1.096218e-02	0	5.499705e-03	2.338386e-01	1.694419e-01	3.030382e-01
Pancreas_56537	4.133618e-02	2.213327e-01	2.040542e-02	2.547301e-01	1.584060e-01	3.492777e-01	5.993905e-02	2.499612e-01	1.436986e-02	2.137444e-01	7.042513e-03	7.241430e-02	1.616016e-01	3.455946e-02	1.527585e-01	2.414727e-01
Pancreas_56538	6.702622e-03	1.304234e-01	4.681644e-02	1.196213e-01	1.814541e-01	3.561620e-01	1.015199e-01	3.332293e-01	1.707642e-03	1.828664e-01	0	2.311232e-01	7.842408e-02	8.214149e-02	1.701507e-01	2.663195e-01
Pancreas_56539	5.059742e-02	7.362218e-02	2.566058e-02	6.495643e-02	1.808278e-01	3.564722e-01	2.640778e-01	2.271355e-01	0	2.622482e-01	1.541732e-02	1.671745e-01	6.374119e-02	6.636892e-02	1.722214e-01	2.647868e-01
Pancreas_56367	5.415570e-02	1.141269e-01	5.541789e-02	4.156758e-02	1.910165e-01	2.064220e-01	1.427696e-01	3.876923e-01	5.419037e-02	3.088337e-01	1.296290e-02	1.045905e-01	0	1.103172e-01	1.754571e-01	1.972046e-01
Pancreas_56369	3.573186e-02	1.333882e-01	4.958063e-02	8.735258e-02	1.670442e-01	2.048507e-01	1.256163e-01	3.613759e-01	2.014780e-02	2.566417e-01	3.883150e-02	1.307174e-01	8.792942e-02	8.519581e-02	1.705718e-01	2.017355e-01
Pancreas_56528	5.731333e-02	1.195174e-01	5.665595e-02	1.347481e-01	1.734936e-01	3.546978e-01	8.682002e-02	3.578081e-01	3.154475e-02	1.845957e-01	0	1.824524e-01	2.385039e-02	8.855501e-02	1.196438e-01	2.703503e-01
Pancreas_56529	3.675044e-02	2.572577e-01	1.265259e-02	1.202261e-01	2.003875e-01	2.366865e-01	1.879388e-01	2.386005e-01	4.434379e-02	1.828885e-01	1.517290e-01	7.106993e-02	1.770289e-01	1.637630e-02	1.798945e-01	2.809034e-01
Pancreas_56530	1.239568e-02	2.425758e-01	3.196787e-02	1.899208e-01	1.555569e-01	2.905742e-01	1.638735e-01	3.249046e-01	2.889267e-02	2.367020e-01	5.808924e-02	7.409435e-02	0	8.136635e-02	1.835502e-01	3.359746e-01
Pancreas_56540	5.077646e-02	2.051720e-01	2.213088e-02	2.304668e-01	1.691759e-01	4.033820e-01	1.286965e-01	2.247019e-01	1.497140e-02	2.634181e-01	0	3.241380e-02	9.162048e-02	5.298438e-02	1.427737e-01	3.476147e-01
Pancreas_56377	5.377139e-02	9.686120e-02	4.629187e-02	2.314355e-01	1.616622e-01	1.785261e-01	1.472054e-01	3.396283e-01	0	2.921648e-01	0	6.083363e-02	5.689767e-02	1.404197e-01	1.888636e-01	1.885545e-01
