geneID	D13.3_CAR-HPX	D15.6_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D16.14_GNF2-TTN	D12.9_GNF2-SERPINI2	D25.2_SCHLOSSER-MYC-AND-SERUM-RESPONSE-SYNERGY	D17.2_REACTOME-OLFACTORY-SIGNALING-PATHWAY	D11.5_JIANG-CORE-DUPLICON-GENES	D16.2_FINETTI-BREAST-CANCER-KINOME-RED	D13.11_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D15.7_FARMER-BREAST-CANCER-CLUSTER-5	D18.12_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D20.17_XENOBIOTIC-METABOLIC-PROCESS	D22.17_GNF2-TM4SF2	D20.11_GNF2-CDH3	D16.10_JIANG-CORE-DUPLICON-GENES	D22.4_REACTOME-OLFACTORY-SIGNALING-PATHWAY
LOC728012	4.054029e-01	3.789202e-02	4.330952e-01	1.787017e-01	4.449048e-01	7.581498e-01	7.121075e-01	5.439175e-02	0	0	0	2.457733e-01	1.110715e-01	5.864333e-01	0	1.013523e-01
LOC728034	6.079844e-01	6.711880e-01	1.213445e+00	9.014314e-01	0	3.119617e-01	9.739718e-01	1.389878e+00	5.480376e-01	6.845942e-01	1.000003e+00	1.972197e-01	2.352501e-01	1.524155e+00	2.347960e+00	6.279383e-01
LOC728126	1.211638e+00	1.225464e+00	1.396205e+00	1.457055e+00	2.163599e+00	1.276759e+00	1.499977e+00	2.274966e+00	1.092858e+00	6.009963e-01	1.124277e+00	6.261466e-01	1.266072e+00	1.145396e+00	1.437835e+00	1.321775e+00
LOC728131	1.350163e+00	1.304531e+00	1.654544e+00	1.466648e+00	1.766419e+00	1.558753e+00	1.505196e+00	2.247613e+00	1.236471e+00	8.327934e-01	1.268827e+00	7.743575e-01	1.407405e+00	1.091392e+00	1.434447e+00	1.534277e+00
LOC728137	2.333888e-01	3.850572e-01	5.302222e-01	4.619122e-01	6.770972e-01	3.677934e-01	4.931675e-01	1.315494e+00	2.890536e-01	6.524584e-02	5.427221e-01	8.878436e-02	1.711967e-01	2.833979e-01	6.333433e-01	4.072259e-03
LOC728142	7.541127e-01	7.444448e-01	1.486453e+00	5.965907e-01	0	0	0	1.454466e+00	1.028492e+00	4.245272e-01	1.652009e+00	0	7.805327e-01	0	0	0
LOC728148	6.839576e-01	5.253351e-01	6.440035e-02	6.456870e-02	0	4.348649e-02	2.447248e-01	5.575973e-01	4.870897e-02	1.485779e-01	3.185406e-01	0	0	0	6.455383e-01	3.911290e-01
LOC728153	4.127488e-01	5.266785e-01	0	1.518907e+00	8.080595e-01	1.107007e-02	1.248047e+00	4.103944e-01	4.610425e-01	5.346320e-01	2.477420e-01	3.846296e-01	0	2.547722e-01	1.867086e+00	8.286423e-01
LOC728154	9.789681e-02	0	3.705593e-01	5.623811e-01	0	1.529803e+00	5.349631e-01	9.861089e-01	4.445705e-01	6.481245e-01	3.284452e-01	2.499056e-01	0	8.064361e-01	1.070263e+00	2.195087e+00
LOC728175	3.562212e-01	3.791499e-01	3.136394e-01	1.763546e-01	4.280417e-01	1.467212e-01	2.885034e-01	6.826126e-01	1.700317e-01	0	1.913880e-01	6.294741e-01	1.934571e-01	0	0	0
LOC728179	1.354301e+00	1.191220e+00	1.616064e+00	1.410383e+00	1.736499e+00	1.549803e+00	1.533998e+00	2.379742e+00	1.239957e+00	7.759815e-01	1.216107e+00	7.923691e-01	1.520569e+00	1.081760e+00	1.451636e+00	1.647553e+00
LOC728198	5.404978e-01	7.121910e-02	7.513100e-01	1.113441e-01	0	0	5.452040e-01	1.509339e+00	2.342959e-01	4.836202e-01	1.454092e-01	0	2.556324e-01	2.530586e-01	8.874237e-02	0
LOC728199	1.959748e-01	0	1.049069e-01	6.719721e-01	0	4.900716e-01	1.181724e+00	1.616237e-01	3.840335e-01	5.232408e-01	7.592164e-02	3.717204e+00	1.097366e+00	7.002769e-01	2.284203e+00	1.352049e-01
LOC728218	1.345999e+00	2.850913e-02	2.284746e-01	1.749669e+00	0	1.514208e+00	2.265572e-01	4.216814e-01	1.788299e-01	0	2.184069e-01	3.696538e-01	5.577048e-01	0	1.254931e+00	6.813178e-01
